model,K,num_latent_factors,alg,scaling_value,sigma,preproc_time,comp_time,num_items_first_check,num_items_last_check,user_sample_ratio,num_sampled_users,blocked_mm_sample_time,fexipro_sample_time,fexipro_wins
lemp-paper-KDD-50,1,51,SI,127,0.800000,8.941543,18.816611,176.882832,0.506625,0.000000,2509,0.001900,0.005600,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,9.437256,152.289753,1026.459342,0.001840,0.000000,2509,0.002583,0.058115,False
lemp-paper-KDD-50,10,51,SI,127,0.800000,9.209245,35.219762,301.622494,1.822471,0.000000,2509,0.002144,0.011894,False
lemp-paper-KDD-50,10,51,SIR,127,0.800000,9.610278,274.683264,1468.974023,0.002500,0.000000,2509,0.001937,0.107543,False
lemp-paper-KDD-50,5,51,SI,127,0.800000,9.127624,30.257173,267.318150,1.297306,0.000000,2509,0.002069,0.009990,False
lemp-paper-KDD-50,5,51,SIR,127,0.800000,9.613141,265.609122,1444.383496,0.002484,0.000000,2509,0.002198,0.103665,False
lemp-paper-KDD-50,50,51,SI,127,0.800000,9.126204,54.256035,437.910074,4.683164,0.000000,2509,0.001982,0.019642,False
lemp-paper-KDD-50,50,51,SIR,127,0.800000,9.438726,300.067917,1512.592550,0.002507,0.000000,2509,0.001886,0.117711,False
lemp-paper-Netflix-noav-10,1,10,SI,127,0.800000,0.034043,1.171525,47.730510,0.359987,0.000000,12800,0.000065,0.000027,True
lemp-paper-Netflix-noav-10,1,10,SIR,127,0.800000,0.040839,1.275999,47.998832,1.325568,0.000000,12800,0.000068,0.000031,True
lemp-paper-Netflix-noav-10,10,10,SI,127,0.800000,0.036982,1.727375,75.159389,1.260195,0.000000,12800,0.000087,0.000048,True
lemp-paper-Netflix-noav-10,10,10,SIR,127,0.800000,0.040967,1.732799,74.937325,3.025888,0.000000,12800,0.000080,0.000055,True
lemp-paper-Netflix-noav-10,5,10,SI,127,0.800000,0.037088,1.453855,63.948991,0.816018,0.000000,12800,0.000076,0.000038,True
lemp-paper-Netflix-noav-10,5,10,SIR,127,0.800000,0.041708,1.394238,63.482258,2.121573,0.000000,12800,0.000065,0.000044,True
lemp-paper-Netflix-noav-10,50,10,SI,127,0.800000,0.022530,2.372152,118.587685,4.003563,0.000000,12800,0.000098,0.000087,True
lemp-paper-Netflix-noav-10,50,10,SIR,127,0.800000,0.042134,2.665900,118.048860,8.105877,0.000000,12800,0.000097,0.000111,False
lemp-paper-Netflix-noav-100,1,100,SI,127,0.800000,0.278520,1.996314,26.993680,0.030873,0.000000,1280,0.000227,0.001332,False
lemp-paper-Netflix-noav-100,1,100,SIR,127,0.800000,0.299309,1.965783,27.391733,0.447061,0.000000,1280,0.000304,0.001232,False
lemp-paper-Netflix-noav-100,10,100,SI,127,0.800000,0.276290,2.350661,32.165152,0.158652,0.000000,1280,0.000223,0.001614,False
lemp-paper-Netflix-noav-100,10,100,SIR,127,0.800000,0.233365,2.669767,31.860855,1.156805,0.000000,1280,0.000364,0.001722,False
lemp-paper-Netflix-noav-100,5,100,SI,127,0.800000,0.270725,2.347951,30.366206,0.098649,0.000000,1280,0.000348,0.001486,False
lemp-paper-Netflix-noav-100,5,100,SIR,127,0.800000,0.283393,2.288772,30.522305,0.856615,0.000000,1280,0.000293,0.001495,False
lemp-paper-Netflix-noav-100,50,100,SI,127,0.800000,0.294302,2.780195,35.897636,0.530325,0.000000,1280,0.000288,0.001884,False
lemp-paper-Netflix-noav-100,50,100,SIR,127,0.800000,0.280063,2.880916,35.723317,2.646185,0.000000,1280,0.000303,0.001948,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.089060,1.172164,34.620391,0.060928,0.000000,2560,0.000116,0.000342,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.132174,1.506795,34.716131,0.574395,0.000000,2560,0.000232,0.000356,False
lemp-paper-Netflix-noav-50,10,50,SI,127,0.800000,0.123163,1.702619,45.581369,0.280594,0.000000,2560,0.000176,0.000490,False
lemp-paper-Netflix-noav-50,10,50,SIR,127,0.800000,0.108265,1.685580,45.485007,1.443598,0.000000,2560,0.000131,0.000527,False
