model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time,user_sample_ratio,blocked_mm_sample_time,lemp_sample_time,lemp_wins
lemp-paper-Glove-100,1,1093514,1280,100,1,0,1280,1106163200,7.42283,13.8396,88.2399,109.502,0,0.00487151,0.0849588,false
lemp-paper-Glove-100,1,1093514,1280,100,10,0,12800,1240179200,7.4713,15.2177,98.107,120.796,0,0.00403681,0.0937758,false
lemp-paper-Glove-100,1,1093514,1280,100,5,0,6400,1316184320,7.47058,14.9991,96.9774,119.447,0,0.00411708,0.0927351,false
lemp-paper-Glove-100,1,1093514,1280,100,50,0,64000,1380032000,7.56093,15.82,101.778,125.159,0,0.00452245,0.0971811,false
lemp-paper-Glove-200,1,1093514,640,200,1,0,640,698044160,13.8752,3.32772,73.2557,90.4586,0,0.00997864,0.139238,false
lemp-paper-Glove-200,1,1093514,640,200,10,0,6400,699256960,13.9758,3.46199,75.058,92.4958,0,0.00870109,0.142403,false
lemp-paper-Glove-200,1,1093514,640,200,5,0,3200,698979840,13.8756,3.30483,72.9295,90.1099,0,0.00829891,0.138721,false
lemp-paper-Glove-200,1,1093514,640,200,50,0,32000,699561600,14.0461,3.5023,74.3018,91.8502,0,0.00893047,0.141428,false
lemp-paper-Glove-50,1,1093514,2560,50,1,0,2560,79790080,2.6748,4.59682,20.8499,28.1216,0,0.00398317,0.0108007,false
lemp-paper-Glove-50,1,1093514,2560,50,10,0,25600,136110080,3.04795,6.10338,28.0138,37.1652,0,0.00429287,0.0143399,false
lemp-paper-Glove-50,1,1093514,2560,50,5,0,12800,177538560,3.11947,6.78484,33.2528,43.1571,0,0.00301713,0.0166819,false
lemp-paper-Glove-50,1,1093514,2560,50,50,0,128000,1518970880,3.85426,7.89973,72.4328,84.1868,0,0.00384858,0.032706,false
lemp-paper-KDD-50,1,624961,2509,51,1,0,2509,38927135,0.51364,0.432469,2.36933,3.31544,0,0.00188082,0.00121097,true
lemp-paper-KDD-50,1,624961,2509,51,10,0,25090,21130798,0.410305,0.317142,1.62721,2.35466,0,0.00232681,0.000827841,true
lemp-paper-KDD-50,1,624961,2509,51,5,0,12545,277109014,0.784778,1.31794,12.305,14.4077,0,0.00196627,0.00563201,false
lemp-paper-KDD-50,1,624961,2509,51,50,0,125450,212028063,0.670911,1.05404,9.1901,10.9151,0,0.00214366,0.00424146,false
lemp-paper-Netflix-noav-10,1,17770,12800,10,1,0,12800,80768000,0.010033,0.183246,1.32145,1.51473,0,6.38127e-05,0.000118145,false
lemp-paper-Netflix-noav-10,1,17770,12800,10,10,0,128000,60467200,0.007739,0.10718,0.787166,0.902085,0,6.73491e-05,7.02805e-05,false
lemp-paper-Netflix-noav-10,1,17770,12800,10,5,0,64000,8627200,0.004852,0.017048,0.075195,0.097095,0,6.90623e-05,7.39172e-06,true
lemp-paper-Netflix-noav-10,1,17770,12800,10,50,0,640000,42585600,0.010473,0.130723,0.914479,1.05567,0,9.21098e-05,8.22739e-05,true
lemp-paper-Netflix-noav-100,1,17770,1280,100,1,0,1280,9299200,0.065567,0.104219,0.670719,0.840505,0,0.000196833,0.00064932,false
lemp-paper-Netflix-noav-100,1,17770,1280,100,10,0,12800,10115840,0.074534,0.121297,0.751155,0.946986,0,0.000271119,0.000732466,false
lemp-paper-Netflix-noav-100,1,17770,1280,100,5,0,6400,10915840,0.071446,0.11861,0.741509,0.931565,0,0.000231496,0.000720473,false
lemp-paper-Netflix-noav-100,1,17770,1280,100,50,0,64000,18026240,0.101203,0.185667,1.23769,1.52456,0,0.000230034,0.00118364,false
lemp-paper-Netflix-noav-50,1,17770,2560,50,1,0,2560,17955840,0.038458,0.121893,0.690002,0.850353,0,0.000155565,0.000330056,false
lemp-paper-Netflix-noav-50,1,17770,2560,50,10,0,25600,24537600,0.039752,0.16205,0.870823,1.07262,0,0.000124651,0.000416989,false
lemp-paper-Netflix-noav-50,1,17770,2560,50,5,0,12800,22105600,0.063719,0.20611,0.896022,1.16585,0,0.000147426,0.000453429,false
lemp-paper-Netflix-noav-50,1,17770,2560,50,50,0,128000,15720960,0.042186,0.135557,0.760217,0.93796,0,0.00014748,0.000364259,false
nomad-KDD-10-reg-1,1,624961,12800,10,1,0,12800,230886400,0.181792,0.372919,2.9651,3.51981,0,0.00159075,0.000265941,true
nomad-KDD-10-reg-1,1,624961,12800,10,10,0,128000,416435200,0.169066,0.89648,5.84876,6.91431,0,0.00153083,0.000531064,true
nomad-KDD-10-reg-1,1,624961,12800,10,5,0,64000,101273600,0.130117,0.273663,1.81894,2.22272,0,0.00149458,0.000164521,true
nomad-KDD-10-reg-1,1,624961,12800,10,50,0,640000,313100800,0.166523,0.660092,3.71562,4.54224,0,0.00152652,0.000345714,true
nomad-KDD-100-reg-1,1,624961,1280,100,1,0,1280,17388800,0.659763,0.263099,1.55898,2.48185,0,0.00360153,0.00160404,true
nomad-KDD-100-reg-1,1,624961,1280,100,10,0,12800,63507200,1.23854,1.16429,5.79075,8.19359,0,0.00270169,0.00606813,false
nomad-KDD-100-reg-1,1,624961,1280,100,5,0,6400,319874560,2.72928,3.73664,23.7765,30.2424,0,0.00387408,0.023292,false
nomad-KDD-100-reg-1,1,624961,1280,100,50,0,64000,337596160,2.92586,4.79627,27.6083,35.3305,0,0.00289411,0.0272635,false
nomad-KDD-25-reg-0.001,1,624961,5120,25,1,0,5120,34903040,0.228237,0.187459,1.18737,1.60307,0,0.00158042,0.000278073,true
nomad-KDD-25-reg-0.001,1,624961,5120,25,10,0,51200,86318080,0.401015,0.777148,5.33868,6.51684,0,0.00155423,0.00123745,true
nomad-KDD-25-reg-0.001,1,624961,5120,25,5,0,25600,584038400,0.804159,3.47957,23.411,27.6947,0,0.00155127,0.00537387,false
