model,K,num_latent_factors,alg,scaling_value,sigma,preproc_time,comp_time,num_items_first_check,num_items_last_check,user_sample_ratio,num_sampled_users,blocked_mm_sample_time,fexipro_sample_time,fexipro_wins
lemp-paper-KDD-50,1,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.001795,0.006921,False
lemp-paper-KDD-50,1,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.002045,0.057493,False
lemp-paper-KDD-50,10,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.002293,0.013736,False
lemp-paper-KDD-50,10,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.002272,0.109478,False
lemp-paper-KDD-50,5,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.002059,0.011445,False
lemp-paper-KDD-50,5,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.001924,0.103057,False
lemp-paper-KDD-50,50,51,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.002035,0.021023,False
lemp-paper-KDD-50,50,51,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2509,0.002193,0.117231,False
lemp-paper-Netflix-noav-10,1,10,SI,127,0.800000,0.022547,1.148946,48.413006,0.363959,0.000000,12800,0.000063,0.000027,True
lemp-paper-Netflix-noav-10,1,10,SIR,127,0.800000,0.040470,1.246005,48.203070,1.338406,0.000000,12800,0.000066,0.000032,True
lemp-paper-Netflix-noav-10,10,10,SI,127,0.800000,0.037171,1.405808,74.775220,1.254725,0.000000,12800,0.000063,0.000047,True
lemp-paper-Netflix-noav-10,10,10,SIR,127,0.800000,0.041384,1.572785,74.402625,3.023145,0.000000,12800,0.000068,0.000055,True
lemp-paper-Netflix-noav-10,5,10,SI,127,0.800000,0.036688,1.383738,63.730900,0.821306,0.000000,12800,0.000070,0.000038,True
lemp-paper-Netflix-noav-10,5,10,SIR,127,0.800000,0.041528,1.402691,64.331084,2.170658,0.000000,12800,0.000064,0.000045,True
lemp-paper-Netflix-noav-10,50,10,SI,127,0.800000,0.037989,2.266951,117.390026,3.967804,0.000000,12800,0.000091,0.000086,True
lemp-paper-Netflix-noav-10,50,10,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,12800,0.000089,0.000103,False
lemp-paper-Netflix-noav-100,1,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000247,0.001277,False
lemp-paper-Netflix-noav-100,1,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000253,0.001307,False
lemp-paper-Netflix-noav-100,10,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000237,0.001600,False
lemp-paper-Netflix-noav-100,10,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000252,0.001689,False
lemp-paper-Netflix-noav-100,5,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000320,0.001503,False
lemp-paper-Netflix-noav-100,5,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000351,0.001509,False
lemp-paper-Netflix-noav-100,50,100,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000339,0.001895,False
lemp-paper-Netflix-noav-100,50,100,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,1280,0.000298,0.001986,False
lemp-paper-Netflix-noav-50,1,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000105,0.000348,False
lemp-paper-Netflix-noav-50,1,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000172,0.000353,False
lemp-paper-Netflix-noav-50,10,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000180,0.000493,False
lemp-paper-Netflix-noav-50,10,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000212,0.000528,False
lemp-paper-Netflix-noav-50,5,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000157,0.000473,False
lemp-paper-Netflix-noav-50,5,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000134,0.000459,False
lemp-paper-Netflix-noav-50,50,50,SI,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000191,0.000668,False
lemp-paper-Netflix-noav-50,50,50,SIR,127,0.800000,0.0,0.0,0.0,0.0,0.000000,2560,0.000198,0.000729,False
nomad-KDD-10-reg-1,1,10,SI,127,0.800000,1.228736,24.773116,286.753924,0.066421,0.000000,12800,0.001507,0.000429,True
nomad-KDD-10-reg-1,1,10,SIR,127,0.800000,1.330523,27.090455,280.362872,0.123379,0.000000,12800,0.001643,0.000473,True
