model,K,num_users,num_items,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time,user_sample_ratio,num_sampled_users,blocked_mm_sample_time,simdex_sample_time,simdex_wins
lemp-paper-Glove-100,1,100000,1093514,100,1,1,4096,8,10,3,49.6506,0.127348,0.604863,166.569,167.301,0,1280,0.00896196,0.12117,0
lemp-paper-Glove-100,10,100000,1093514,100,1,1,4096,8,10,3,49.1832,0.127292,0.599788,172.978,173.705,0,1280,0.00898613,0.126153,0
lemp-paper-Glove-100,5,100000,1093514,100,1,1,4096,8,10,3,49.1258,0.127919,0.604802,175.624,176.357,0,1280,0.0090277,0.128178,0
lemp-paper-Glove-100,50,100000,1093514,100,1,1,4096,8,10,3,49.1124,0.127602,0.597927,173.725,174.451,0,1280,0.00899614,0.126726,0
lemp-paper-Glove-200,1,100000,1093514,200,1,1,4096,8,10,3,99.9246,0.257494,1.07094,155.926,157.254,0,640,0.0143054,0.229328,0
lemp-paper-Glove-200,10,100000,1093514,200,1,1,4096,8,10,3,98.5166,0.255757,1.04015,131.486,132.782,0,640,0.0141837,0.191263,0
lemp-paper-Glove-200,5,100000,1093514,200,1,1,4096,8,10,3,98.2816,0.256072,1.05062,133.483,134.79,0,640,0.0142326,0.194334,0
lemp-paper-Glove-200,50,100000,1093514,200,1,1,4096,8,10,3,98.6484,0.255721,1.06633,155.181,156.503,0,640,0.0144026,0.228066,0
lemp-paper-Glove-50,1,100000,1093514,50,1,1,4096,8,10,3,25.0691,0.069083,0.390556,69.8759,70.3355,0,2560,0.00679903,0.0204962,0
lemp-paper-Glove-50,10,100000,1093514,50,1,1,4096,8,10,3,24.7661,0.06245,0.372042,147.284,147.719,0,2560,0.00694886,0.050584,0
lemp-paper-Glove-50,5,100000,1093514,50,1,1,4096,8,10,3,24.6316,0.064124,0.373493,137.118,137.556,0,2560,0.00689358,0.0466682,0
lemp-paper-Glove-50,50,100000,1093514,50,1,1,4096,8,10,3,24.5333,0.06329,0.367666,212.072,212.503,0,2560,0.0171454,0.0656953,0
lemp-paper-KDD-50,1,1000990,624961,51,1,1,4096,8,10,3,45.5598,0.630091,0.43703,20.4738,21.5409,0,2509,0.00383462,0.00432546,0
lemp-paper-KDD-50,10,1000990,624961,51,1,1,4096,8,10,3,45.6179,0.633798,0.434446,31.5173,32.5855,0,2509,0.00391809,0.00864354,0
lemp-paper-KDD-50,5,1000990,624961,51,1,1,4096,8,10,3,46.1255,0.632791,0.434073,28.4404,29.5072,0,2509,0.0039078,0.00742749,0
lemp-paper-KDD-50,50,1000990,624961,51,1,1,4096,8,10,3,45.5729,0.631987,0.434357,71.3141,72.3804,0,2509,0.00391992,0.0245033,0
lemp-paper-Netflix-noav-10,1,480189,17770,10,1,1,4096,8,10,3,3.57815,0.09248,0.042842,1.25257,1.38789,0,12800,7.98816e-05,1.79655e-05,1
lemp-paper-Netflix-noav-10,10,480189,17770,10,1,1,4096,8,10,3,3.20106,0.094156,0.04303,1.53371,1.6709,0,12800,8.91955e-05,3.06155e-05,1
lemp-paper-Netflix-noav-10,5,480189,17770,10,1,1,4096,8,10,3,3.56747,0.092149,0.042656,1.41285,1.54766,0,12800,8.15864e-05,2.87823e-05,1
lemp-paper-Netflix-noav-10,50,480189,17770,10,1,1,4096,8,10,3,3.59759,0.092352,0.042851,2.10568,2.24089,0,12800,0.000106461,5.80354e-05,1
lemp-paper-Netflix-noav-100,1,480189,17770,100,1,1,4096,8,10,3,30.8866,0.563171,0.213984,0.7182,1.49535,0,1280,0.000182805,0.000378184,0
lemp-paper-Netflix-noav-100,10,480189,17770,100,1,1,4096,8,10,3,31.2987,0.56736,0.216946,0.700226,1.48453,0,1280,0.000196659,0.00035028,0
lemp-paper-Netflix-noav-100,5,480189,17770,100,1,1,4096,8,10,3,30.9096,0.562856,0.213891,0.550739,1.32749,0,1280,0.000192203,0.000237941,0
lemp-paper-Netflix-noav-100,50,480189,17770,100,1,1,4096,8,10,3,34.6382,0.563128,0.213643,0.632503,1.40927,0,1280,0.000225716,0.00026831,0
lemp-paper-Netflix-noav-50,1,480189,17770,50,1,1,4096,8,10,3,17.3254,0.300881,0.121472,0.69462,1.11697,0,2560,0.000125827,0.000145448,0
lemp-paper-Netflix-noav-50,10,480189,17770,50,1,1,4096,8,10,3,15.4661,0.29945,0.12293,0.840125,1.2625,0,2560,0.000137543,0.000190573,0
lemp-paper-Netflix-noav-50,5,480189,17770,50,1,1,4096,8,10,3,15.4707,0.297548,0.125428,0.744068,1.16704,0,2560,0.000135087,0.000155509,0
lemp-paper-Netflix-noav-50,50,480189,17770,50,1,1,4096,8,10,3,15.4511,0.297106,0.122365,0.808104,1.22758,0,2560,0.000164518,0.00015109,1
nomad-KDD-10-reg-1,1,1000990,624961,10,1,1,4096,8,10,3,7.40095,0.193015,0.161857,38.4249,38.7797,0,12800,0.00264277,0.000359166,1
nomad-KDD-10-reg-1,10,1000990,624961,10,1,1,4096,8,10,3,6.16681,0.193877,0.165114,46.5016,46.8606,0,12800,0.00272554,0.000907383,1
nomad-KDD-10-reg-1,5,1000990,624961,10,1,1,4096,8,10,3,6.18261,0.184482,0.164896,37.5089,37.8582,0,12800,0.00271483,0.000215541,1
nomad-KDD-10-reg-1,50,1000990,624961,10,1,1,4096,8,10,3,6.1684,0.189259,0.161193,42.3618,42.7123,0,12800,0.00275765,0.000551841,1
nomad-KDD-100-reg-1,1,1000990,624961,100,1,1,4096,8,10,3,62.9939,1.17612,0.747294,62.5345,64.4579,0,1280,0.0051171,0.0437376,0
nomad-KDD-100-reg-1,10,1000990,624961,100,1,1,4096,8,10,3,75.1207,1.17628,0.752955,73.7678,75.697,0,1280,0.00526242,0.0523685,0
nomad-KDD-100-reg-1,5,1000990,624961,100,1,1,4096,8,10,3,74.7742,1.17344,0.754657,68.7263,70.6544,0,1280,0.00523892,0.0484534,0
nomad-KDD-100-reg-1,50,1000990,624961,100,1,1,4096,8,10,3,62.566,1.17693,0.776049,74.9237,76.8767,0,1280,0.00533922,0.0531948,0
nomad-KDD-25-reg-0.001,1,1000990,624961,25,1,1,4096,8,10,3,18.8292,0.353427,0.25991,39.0885,39.7018,0,5120,0.00285906,0.00477537,0
nomad-KDD-25-reg-0.001,10,1000990,624961,25,1,1,4096,8,10,3,15.5575,0.355998,0.261668,53.7176,54.3353,0,5120,0.00292112,0.00757058,0
nomad-KDD-25-reg-0.001,5,1000990,624961,25,1,1,4096,8,10,3,15.5806,0.354227,0.257664,52.9977,53.6096,0,5120,0.00291327,0.00743781,0
nomad-KDD-25-reg-0.001,50,1000990,624961,25,1,1,4096,8,10,3,15.547,0.355392,0.258461,59.2099,59.8237,0,5120,0.00296093,0.00860347,0
nomad-KDD-50-reg-1,1,1000990,624961,50,1,1,4096,8,10,3,31.0871,0.621731,0.424795,62.074,63.1205,0,2560,0.00382033,0.0204273,0
nomad-KDD-50-reg-1,10,1000990,624961,50,1,1,4096,8,10,3,31.1368,0.622255,0.426333,132.775,133.824,0,2560,0.00471991,0.047145,0
nomad-KDD-50-reg-1,5,1000990,624961,50,1,1,4096,8,10,3,37.3412,0.620628,0.427312,72.7784,73.8263,0,2560,0.00389808,0.0245309,0
nomad-KDD-50-reg-1,50,1000990,624961,50,1,1,4096,8,10,3,40.9108,0.618916,0.43011,83.1408,84.1899,0,2560,0.0040134,0.0284634,0
nomad-Netflix-10-reg-0.05,1,480189,17770,10,1,1,4096,8,10,3,2.05809,0.09257,0.043194,1.33997,1.47574,0,12800,7.95628e-05,2.51128e-05,1
nomad-Netflix-10-reg-0.05,10,480189,17770,10,1,1,4096,8,10,3,2.06021,0.092681,0.042122,1.42345,1.55826,0,12800,8.4683e-05,2.65138e-05,1
nomad-Netflix-10-reg-0.05,5,480189,17770,10,1,1,4096,8,10,3,2.07952,0.091569,0.042835,1.36138,1.49578,0,12800,8.19422e-05,2.44054e-05,1
nomad-Netflix-10-reg-0.05,50,480189,17770,10,1,1,4096,8,10,3,1.93266,0.091362,0.040388,2.00776,2.13951,0,12800,0.000109612,4.72358e-05,1
nomad-Netflix-100-reg-0.05,1,480189,17770,100,1,1,4096,8,10,3,19.2918,0.565536,0.215998,0.673352,1.45489,0,1280,0.000184051,0.000341889,0
nomad-Netflix-100-reg-0.05,10,480189,17770,100,1,1,4096,8,10,3,19.0176,0.565502,0.213886,0.752431,1.53182,0,1280,0.000190646,0.000397076,0
nomad-Netflix-100-reg-0.05,5,480189,17770,100,1,1,4096,8,10,3,18.9344,0.565414,0.213838,0.70558,1.48483,0,1280,0.000191693,0.000359421,0
nomad-Netflix-100-reg-0.05,50,480189,17770,100,1,1,4096,8,10,3,22.8816,0.567606,0.216338,0.629599,1.41354,0,1280,0.000232995,0.000258769,0
nomad-Netflix-25-reg-0.05,1,480189,17770,25,1,1,4096,8,10,3,5.66208,0.172509,0.073616,0.807971,1.0541,0,5120,9.45094e-05,6.32742e-05,1
nomad-Netflix-25-reg-0.05,10,480189,17770,25,1,1,4096,8,10,3,5.68847,0.174464,0.073368,0.908943,1.15677,0,5120,0.000106912,7.05898e-05,1
nomad-Netflix-25-reg-0.05,5,480189,17770,25,1,1,4096,8,10,3,5.66691,0.172847,0.073583,0.815836,1.06227,0,5120,9.78186e-05,6.14988e-05,1
nomad-Netflix-25-reg-0.05,50,480189,17770,25,1,1,4096,8,10,3,5.68161,0.172718,0.074969,1.12564,1.37333,0,5120,0.000133897,8.5927e-05,1
nomad-Netflix-50-reg-0.05,1,480189,17770,50,1,1,4096,8,10,3,9.44656,0.299151,0.122982,0.721545,1.14368,0,2560,0.000127336,0.000154473,0
nomad-Netflix-50-reg-0.05,10,480189,17770,50,1,1,4096,8,10,3,11.2493,0.296719,0.122628,0.695323,1.11467,0,2560,0.000132979,0.000138584,0
nomad-Netflix-50-reg-0.05,5,480189,17770,50,1,1,4096,8,10,3,9.45232,0.296398,0.122273,0.677647,1.09632,0,2560,0.000136738,0.000127914,1
nomad-Netflix-50-reg-0.05,50,480189,17770,50,1,1,4096,8,10,3,9.43381,0.297993,0.121883,0.843645,1.26352,0,2560,0.000167541,0.000161952,1
nomad-R2-10-reg-0.001,1,1823179,136736,10,1,1,4096,8,10,3,8.94479,0.342292,0.145591,9.77688,10.2648,0,12800,0.000714233,4.95762e-05,1
nomad-R2-10-reg-0.001,10,1823179,136736,10,1,1,4096,8,10,3,7.54366,0.3482,0.147053,11.2399,11.7352,0,12800,0.000799135,7.89723e-05,1
nomad-R2-10-reg-0.001,5,1823179,136736,10,1,1,4096,8,10,3,8.9838,0.352432,0.147602,11.0181,11.5181,0,12800,0.000799716,6.10616e-05,1
nomad-R2-10-reg-0.001,50,1823179,136736,10,1,1,4096,8,10,3,7.55442,0.356005,0.154347,11.5243,12.0347,0,12800,0.000831432,6.88959e-05,1
nomad-R2-100-reg-0,1,1823179,136736,100,1,1,4096,8,10,3,89.9455,2.14954,0.817312,1.63675,4.6036,0,1280,0.00117024,0.000108248,1
nomad-R2-100-reg-0,10,1823179,136736,100,1,1,4096,8,10,3,89.7724,2.13216,0.8171,1.74953,4.69878,0,1280,0.00119425,0.000172477,1
nomad-R2-100-reg-0,5,1823179,136736,100,1,1,4096,8,10,3,75.4464,2.1391,0.824764,1.76531,4.72917,0,1280,0.00122897,0.000150076,1
nomad-R2-100-reg-0,50,1823179,136736,100,1,1,4096,8,10,3,75.5573,2.13451,0.817464,1.86882,4.8208,0,1280,0.00122923,0.000230698,1
nomad-R2-25-reg-0.001,1,1823179,136736,25,1,1,4096,8,10,3,18.7032,0.646893,0.262061,3.84461,4.75357,0,5120,0.000651815,9.90607e-05,1
