model,num_latent_factors,num_threads,K,gemm_time,pr_queue_time,comp_time
lemp-paper-Netflix-50,50,1,1,21.7831,7.78577,29.5689
lemp-paper-Netflix-50,50,1,50,21.7978,20.2527,42.0504
lemp-paper-Netflix-50,50,1,10,21.7558,9.78924,31.545
lemp-paper-Netflix-50,50,1,5,20.7636,8.25363,29.0172
lemp-paper-Netflix-noav-100,100,1,1,32.2199,7.78937,40.0093
lemp-paper-Netflix-noav-100,100,1,50,32.3174,20.3659,52.6833
lemp-paper-Netflix-noav-100,100,1,5,32.1067,8.75293,40.8596
lemp-paper-Netflix-noav-100,100,1,10,31.6103,9.83204,41.4424
lemp-paper-Netflix-noav-10,10,1,1,12.7636,7.79755,20.5611
lemp-paper-Netflix-noav-10,10,1,5,12.8222,8.68074,21.503
lemp-paper-Netflix-noav-10,10,1,50,13.1286,20.3439,33.4725
lemp-paper-Netflix-noav-10,10,1,10,12.7779,9.83112,22.609
lemp-paper-Netflix-noav-50,50,1,10,21.7705,9.86231,31.6328
lemp-paper-Netflix-noav-50,50,1,50,21.7767,20.3921,42.1689
lemp-paper-Netflix-noav-50,50,1,5,21.7731,8.73758,30.5107
lemp-paper-Netflix-noav-50,50,1,1,21.7641,7.78875,29.5529
pb-new-Netflix-10,10,1,50,12.7724,20.6905,33.4629
pb-new-Netflix-10,10,1,1,12.7776,7.80024,20.5778
pb-new-Netflix-10,10,1,10,12.7715,9.95172,22.7232
pb-new-Netflix-10,10,1,5,12.7676,8.76315,21.5307
pb-new-Netflix-25,25,1,1,15.5939,7.78876,23.3826
pb-new-Netflix-25,25,1,5,15.9595,9.13215,25.0917
pb-new-Netflix-25,25,1,50,15.5908,20.6771,36.268
pb-new-Netflix-25,25,1,10,15.7088,10.1683,25.8771
pb-new-Netflix-50,50,1,10,21.9613,10.4927,32.454
pb-new-Netflix-50,50,1,50,21.7497,20.6722,42.422
pb-new-Netflix-50,50,1,1,21.7994,7.77869,29.5781
pb-new-Netflix-50,50,1,5,21.7694,8.81858,30.588
sigmod-deadline-Netflix-10,10,1,5,12.7701,8.70461,21.4747
sigmod-deadline-Netflix-10,10,1,50,12.7724,20.7536,33.526
sigmod-deadline-Netflix-10,10,1,10,12.7636,10.4672,23.2309
sigmod-deadline-Netflix-10,10,1,1,12.774,7.79457,20.5686
sigmod-deadline-Netflix-25,25,1,50,15.613,20.6134,36.2265
sigmod-deadline-Netflix-25,25,1,1,15.5954,7.78195,23.3774
sigmod-deadline-Netflix-25,25,1,10,15.6259,9.88612,25.5121
sigmod-deadline-Netflix-25,25,1,5,15.6024,9.18757,24.79
sigmod-deadline-Netflix-50,50,1,50,21.7897,20.6893,42.4789
sigmod-deadline-Netflix-50,50,1,5,21.8246,8.6861,30.5107
sigmod-deadline-Netflix-50,50,1,1,21.7551,7.79465,29.5497
sigmod-deadline-Netflix-50,50,1,10,21.8586,10.1109,31.9695
