model,avg_num_items_visited,num_users,num_items,mm_time,simdex_time
lemp-paper-KDD-50,88219,100990,626961,3879.410000,5311.750000
lemp-paper-Netflix-50,5290,480189,17770,37.547000,21.973800
lemp-paper-Netflix-noav-100,13653,480189,17770,52.989100,77.705400
lemp-paper-Netflix-noav-10,4531,480189,17770,20.465200,6.273990
lemp-paper-Netflix-noav-50,9224,480189,17770,37.198100,48.361600
nomad-KDD-10-reg-1,34119,100990,626961,1823.830000,289.428000
nomad-KDD-100-reg-1,347774,100990,626961,4178.610000,nan
nomad-KDD-25-reg-0.001,172720,100990,626961,1937.960000,3860.580000
nomad-KDD-50-reg-1,317382,100990,626961,3329.060000,19612.400000
nomad-Netflix-10-reg-0.05,4633,480189,17770,20.420900,6.457010
nomad-Netflix-100-reg-0.05,11972,480189,17770,52.894700,65.456700
nomad-Netflix-25-reg-0.05,8985,480189,17770,23.192700,20.769100
nomad-Netflix-50-reg-0.05,11886,480189,17770,37.138000,41.901800
nomad-R2-10-reg-0.001,7030,1823179,136736,587.649000,72.464400
nomad-R2-100-reg-0.001,4096,1823179,136736,1587.270000,58.787500
nomad-R2-25-reg-0.001,10764,1823179,136736,684.401000,171.556000
nomad-R2-50-reg-0.001,8288,1823179,136736,1115.710000,193.956000
