model,K,avg_num_items_visited,num_users,num_items,mm_time,lemp_time
lemp-paper-KDD-50,1,2634,100990,624961,3879.410000,18888.400000
lemp-paper-KDD-50,10,10988,100990,624961,3959.360000,24198.700000
lemp-paper-KDD-50,5,4159,100990,624961,4040.020000,23874.100000
lemp-paper-KDD-50,50,18298,100990,624961,3994.790000,20496.800000
lemp-paper-Netflix-50,1,3461,480189,17770,37.547000,40.853200
lemp-paper-Netflix-50,10,5694,480189,17770,40.859800,72.205900
lemp-paper-Netflix-50,5,5029,480189,17770,39.517200,61.708400
lemp-paper-Netflix-50,50,8402,480189,17770,51.748800,115.668000
lemp-paper-Netflix-noav-10,1,1814,480189,17770,20.465200,7.442360
lemp-paper-Netflix-noav-10,10,2753,480189,17770,28.243400,12.648800
lemp-paper-Netflix-noav-10,5,2350,480189,17770,24.056000,10.480800
lemp-paper-Netflix-noav-10,50,4585,480189,17770,36.435900,24.408600
lemp-paper-Netflix-noav-100,1,10001,480189,17770,52.989100,270.105000
lemp-paper-Netflix-noav-100,10,12031,480189,17770,56.885100,298.450000
lemp-paper-Netflix-noav-100,5,11473,480189,17770,55.720500,277.247000
lemp-paper-Netflix-noav-100,50,13405,480189,17770,67.941100,352.841000
lemp-paper-Netflix-noav-50,1,6497,480189,17770,37.198100,78.198100
lemp-paper-Netflix-noav-50,10,8530,480189,17770,40.850200,109.498000
lemp-paper-Netflix-noav-50,5,7792,480189,17770,39.447700,98.365700
lemp-paper-Netflix-noav-50,50,10521,480189,17770,51.990400,140.701000
nomad-KDD-10-reg-1,1,11344,100990,624961,1823.830000,140.927000
nomad-KDD-10-reg-1,10,25363,100990,624961,1790.980000,320.187000
nomad-KDD-10-reg-1,5,21077,100990,624961,1914.220000,246.890000
nomad-KDD-10-reg-1,50,47041,100990,624961,1945.630000,578.205000
nomad-KDD-100-reg-1,1,49122,100990,624961,4178.610000,6719.950000
nomad-KDD-100-reg-1,10,223571,100990,624961,4646.530000,11045.700000
nomad-KDD-100-reg-1,5,201120,100990,624961,5660.330000,9720.530000
nomad-KDD-100-reg-1,50,148566,100990,624961,4623.210000,14960.000000
nomad-KDD-25-reg-0.001,1,44797,100990,624961,1937.960000,1469.450000
nomad-KDD-25-reg-0.001,10,75010,100990,624961,2023.160000,2902.010000
nomad-KDD-25-reg-0.001,5,57957,100990,624961,2023.200000,2239.480000
nomad-KDD-25-reg-0.001,50,124774,100990,624961,2053.550000,3954.940000
nomad-KDD-50-reg-1,1,15540,100990,624961,3329.060000,3710.150000
nomad-KDD-50-reg-1,10,58373,100990,624961,3416.580000,6050.280000
nomad-KDD-50-reg-1,5,39707,100990,624961,3412.780000,5887.050000
nomad-KDD-50-reg-1,50,84282,100990,624961,3445.220000,8497.740000
nomad-Netflix-100-reg-0.05,1,7165,480189,17770,52.894700,157.678000
nomad-Netflix-100-reg-0.05,10,8976,480189,17770,56.668800,215.068000
nomad-Netflix-100-reg-0.05,5,8290,480189,17770,55.156400,190.445000
nomad-Netflix-100-reg-0.05,50,11229,480189,17770,67.783500,273.188000
nomad-Netflix-50-reg-0.05,1,7839,480189,17770,37.138000,89.747900
nomad-Netflix-50-reg-0.05,10,9918,480189,17770,40.871300,122.424000
nomad-Netflix-50-reg-0.05,5,8852,480189,17770,39.592400,109.820000
nomad-Netflix-50-reg-0.05,50,11909,480189,17770,52.309100,157.446000
nomad-R2-10-reg-0.001,1,3454,1823179,136736,587.649000,61.521100
nomad-R2-10-reg-0.001,10,6277,1823179,136736,613.285000,97.406800
nomad-R2-10-reg-0.001,5,4204,1823179,136736,617.476000,80.075800
nomad-R2-10-reg-0.001,50,7493,1823179,136736,680.902000,173.445000
nomad-R2-100-reg-0,1,3481,1823179,136736,1575.190000,327.819000
nomad-R2-100-reg-0,10,4612,1823179,136736,1575.090000,439.815000
nomad-R2-100-reg-0,5,4068,1823179,136736,1572.620000,398.680000
nomad-R2-100-reg-0,50,5679,1823179,136736,1621.570000,673.958000
nomad-R2-25-reg-0.001,1,5611,1823179,136736,684.401000,168.585000
nomad-R2-25-reg-0.001,10,7888,1823179,136736,726.200000,238.762000
nomad-R2-25-reg-0.001,5,7136,1823179,136736,714.748000,210.521000
nomad-R2-25-reg-0.001,50,11559,1823179,136736,776.979000,364.202000
nomad-R2-50-reg-0.000001,1,4758,1823179,136736,1044.380000,272.738000
nomad-R2-50-reg-0.000001,10,7659,1823179,136736,1098.920000,372.128000
nomad-R2-50-reg-0.000001,5,6677,1823179,136736,1092.510000,348.009000
nomad-R2-50-reg-0.000001,50,9172,1823179,136736,1152.100000,563.035000
