model,num_threads,num_items,num_users,num_latent_factors,K,dummy_1,dummy_2,dummy_3,preproc_time,index_time,retrieval_time,comp_time
lemp-paper-IE-svd-100,1,1322094,7716114,100,1,0,7716114,3303064265,4.45659,0.06121,203.258,207.776
lemp-paper-IE-svd-100,1,1322094,7716114,100,50,0,385805700,13816978364,6.64274,0.263492,963.43,970.336
lemp-paper-IE-svd-10,1,1322094,7716114,10,1,0,7716114,239085596,0.625086,0.00218,3.84227,4.46954
lemp-paper-IE-svd-10,1,1322094,7716114,10,50,0,385805700,4296188302,2.53826,0.027903,115.456,118.022
lemp-paper-IE-svd-50,1,1322094,7716114,50,1,0,7716114,1862721585,2.31901,0.021764,60.0013,62.3421
lemp-paper-IE-svd-50,1,1322094,7716114,50,50,0,385805700,6444762939,4.37798,0.099625,280.046,284.524
lemp-paper-Netflix-50,1,17770,480189,50,1,0,480189,1181635629,0.175149,0.220642,45.2407,45.6365
lemp-paper-Netflix-50,1,17770,480189,50,50,0,24009450,3011466472,0.301314,0.629931,116.248,117.179
lemp-paper-Netflix-50,1,17770,480189,50,5,0,2400945,1597072449,0.186532,0.308486,61.9462,62.4412
lemp-paper-Netflix-50,1,17770,480189,50,10,0,4801890,1564550104,0.199106,0.430949,70.9227,71.5528
lemp-paper-Netflix-noav-100,1,17770,480189,100,1,0,480189,3523296737,0.355147,1.38388,260.199,261.938
lemp-paper-Netflix-noav-100,1,17770,480189,100,50,0,24009450,5707596856,0.478171,2.04415,386.836,389.358
lemp-paper-Netflix-noav-100,1,17770,480189,100,5,0,2400945,4657289998,0.360824,1.58533,307.967,309.913
lemp-paper-Netflix-noav-100,1,17770,480189,100,10,0,4801890,5084693873,0.373767,1.62851,327.929,329.931
lemp-paper-Netflix-noav-10,1,17770,480189,10,1,0,480189,836054582,0.044187,0.049366,8.31529,8.40884
lemp-paper-Netflix-noav-10,1,17770,480189,10,50,0,24009450,2121643855,0.161992,0.15939,26.073,26.3943
lemp-paper-Netflix-noav-10,1,17770,480189,10,5,0,2400945,1103206601,0.054653,0.072093,11.7258,11.8526
lemp-paper-Netflix-noav-10,1,17770,480189,10,10,0,4801890,1292264669,0.065794,0.08531,14.25,14.4011
lemp-paper-Netflix-noav-50,1,17770,480189,50,1,0,480189,2381810784,0.173285,0.42759,85.722,86.3229
lemp-paper-Netflix-noav-50,1,17770,480189,50,50,0,24009450,4286886244,0.297699,0.816523,153.684,154.799
lemp-paper-Netflix-noav-50,1,17770,480189,50,5,0,2400945,2829209593,0.184209,0.552559,105.348,106.085
lemp-paper-Netflix-noav-50,1,17770,480189,50,10,0,4801890,3293111133,0.197567,0.630539,118.772,119.6
pb-new-Netflix-10-iters-100,1,17770,480189,10,1,0,480189,746724,0.033736,0.000268,0.021148,0.055152
pb-new-Netflix-10-iters-100,1,17770,480189,10,50,0,24009450,24275250,0.155764,0.001025,0.714145,0.870934
pb-new-Netflix-10,1,17770,480189,10,1,0,480189,1240303252,0.046405,0.071851,12.1785,12.2967
pb-new-Netflix-10,1,17770,480189,10,50,0,24009450,2856990637,0.167205,0.217346,35.0347,35.4192
pb-new-Netflix-10,1,17770,480189,10,5,0,2400945,1778330724,0.056766,0.106051,17.4205,17.5833
pb-new-Netflix-10,1,17770,480189,10,10,0,4801890,1926944340,0.068403,0.127471,20.3344,20.5303
pb-new-Netflix-25,1,17770,480189,25,1,0,480189,2441220221,0.101796,0.320907,62.669,63.0917
pb-new-Netflix-25,1,17770,480189,25,50,0,24009450,4563290854,0.223955,0.592676,107.434,108.25
pb-new-Netflix-25,1,17770,480189,25,5,0,2400945,3980099220,0.111412,0.392581,79.225,79.729
pb-new-Netflix-25,1,17770,480189,25,10,0,4801890,4167050021,0.124573,0.434917,83.7332,84.2927
pb-new-Netflix-50,1,17770,480189,50,1,0,480189,3001445750,0.183154,0.854682,147.272,148.309
pb-new-Netflix-50,1,17770,480189,50,50,0,24009450,5284624392,0.30579,1.20205,212.911,214.419
pb-new-Netflix-50,1,17770,480189,50,5,0,2400945,4260038304,0.193513,0.932463,172.098,173.224
pb-new-Netflix-50,1,17770,480189,50,10,0,4801890,4449110922,0.207287,1.01504,177.766,178.988
sigmod-deadline-Netflix-10,1,17770,480189,10,1,0,480189,487408982,0.043435,0.031575,4.76454,4.83955
sigmod-deadline-Netflix-10,1,17770,480189,10,50,0,24009450,1333713865,0.166536,0.115585,15.9325,16.2146
sigmod-deadline-Netflix-10,1,17770,480189,10,5,0,2400945,671907711,0.05414,0.04555,6.85482,6.95451
sigmod-deadline-Netflix-10,1,17770,480189,10,10,0,4801890,767970383,0.067269,0.061463,8.75254,8.88128
sigmod-deadline-Netflix-25,1,17770,480189,25,1,0,480189,578358609,0.097903,0.061288,9.47048,9.62968
sigmod-deadline-Netflix-25,1,17770,480189,25,50,0,24009450,1471797277,0.220229,0.18761,29.3149,29.7228
sigmod-deadline-Netflix-25,1,17770,480189,25,5,0,2400945,769655939,0.107496,0.082517,13.9279,14.1179
sigmod-deadline-Netflix-25,1,17770,480189,25,10,0,4801890,900830612,0.121038,0.099078,16.5312,16.7513
sigmod-deadline-Netflix-50,1,17770,480189,50,1,0,480189,484528960,0.165107,0.077285,16.8417,17.0841
sigmod-deadline-Netflix-50,1,17770,480189,50,50,0,24009450,1434153914,0.297537,0.25107,49.878,50.4266
sigmod-deadline-Netflix-50,1,17770,480189,50,5,0,2400945,653083124,0.182159,0.109891,24.1107,24.4027
sigmod-deadline-Netflix-50,1,17770,480189,50,10,0,4801890,783249039,0.19643,0.132952,28.1346,28.464
