model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time,user_sample_ratio,blocked_mm_sample_time,lemp_sample_time,lemp_wins
lemp-paper-KDD-50,1,624961,100,51,1,0,100,16768200,0.660699,0.0198,0.454711,1.13521,0.0001,0,0.00857456,false
lemp-paper-KDD-50,1,624961,1000,51,1,0,1000,82765000,0.672919,0.419262,3.72143,4.81361,0.001,0,0.00453555,false
lemp-paper-KDD-50,1,624961,10009,51,1,0,10009,56841111,0.511356,1.36541,4.74113,6.61789,0.01,0,0.000633309,false
lemp-paper-KDD-50,1,624961,2509,51,1,0,2509,65236509,0.564378,0.571551,3.34802,4.48394,0,0,0.00167575,false
lemp-paper-KDD-50,1,624961,500,51,1,0,500,20249000,0.364299,0.012452,0.536384,0.913135,0.0005,0,0.00127687,false
lemp-paper-KDD-50,1,624961,5004,51,1,0,5004,197973252,0.541852,1.06792,8.55079,10.1606,0.005,0,0.00197475,false
lemp-paper-Netflix-noav-50,1,17770,240,50,1,0,240,2790000,0.045463,0.001422,0.074208,0.121093,0.0005,0,0.000480933,false
lemp-paper-Netflix-noav-50,1,17770,2400,50,1,0,2400,7108800,0.032429,0.072692,0.320247,0.425368,0.005,0,0.000175066,false
lemp-paper-Netflix-noav-50,1,17770,2560,50,1,0,2560,23370240,0.045315,0.155024,0.978583,1.17892,0,0,0.000458474,false
lemp-paper-Netflix-noav-50,1,17770,48,50,1,0,48,625824,0.005804,0,0.016952,0.022756,0.0001,0,0.000355583,false
lemp-paper-Netflix-noav-50,1,17770,480,50,1,0,480,2627520,0.025712,0.001364,0.068464,0.09554,0.001,0,0.000188131,false
lemp-paper-Netflix-noav-50,1,17770,4801,50,1,0,4801,33837448,0.039601,0.218291,1.32429,1.58218,0.01,0,0.000328411,false
nomad-KDD-50-reg-1,1,624961,100,50,1,0,100,15087700,0.736825,0.017099,0.395537,1.14946,0.0001,0,0.00890607,false
nomad-KDD-50-reg-1,1,624961,1000,50,1,0,1000,25933000,0.816799,0.478572,2.45431,3.74968,0.001,0,0.00348956,false
nomad-KDD-50-reg-1,1,624961,10009,50,1,0,10009,3665746205,2.05409,16.4159,163.911,182.381,0.01,0,0.0181958,false
nomad-KDD-50-reg-1,1,624961,2560,50,1,0,2560,35238400,0.464947,0.437803,2.49911,3.40186,0,0,0.0012268,false
nomad-KDD-50-reg-1,1,624961,500,50,1,0,500,223589500,1.67369,0.257025,5.81916,7.74987,0.0005,0,0.0149805,false
nomad-KDD-50-reg-1,1,624961,5004,50,1,0,5004,41568228,0.401586,0.552554,2.94746,3.9016,0.005,0,0.000727557,false
nomad-Netflix-50-reg-0.05,1,17770,240,50,1,0,240,3157440,0.050258,0.001417,0.082012,0.133687,0.0005,0,0.000533938,false
nomad-Netflix-50-reg-0.05,1,17770,2400,50,1,0,2400,30880800,0.059448,0.202066,1.29774,1.55925,0.005,0,0.00064753,false
nomad-Netflix-50-reg-0.05,1,17770,2560,50,1,0,2560,11706880,0.026131,0.078674,0.509802,0.614607,0,0,0.000237938,false
nomad-Netflix-50-reg-0.05,1,17770,48,50,1,0,48,209472,0.005672,0,0.005545,0.011217,0.0001,0,0.000117938,false
nomad-Netflix-50-reg-0.05,1,17770,480,50,1,0,480,7790400,0.056172,0.003862,0.202395,0.262429,0.001,0,0.000535952,false
nomad-Netflix-50-reg-0.05,1,17770,4801,50,1,0,4801,16361808,0.033132,0.139416,0.864012,1.03656,0.01,0,0.000214763,false
nomad-R2-50-reg-0.000001,1,136736,182,50,1,0,182,978432,0.073898,0.000661,0.025371,0.09993,0.0001,0,0.000251945,false
nomad-R2-50-reg-0.000001,1,136736,1823,50,1,0,1823,8125111,0.068436,0.047525,0.308038,0.423999,0.001,0,0.00020288,false
nomad-R2-50-reg-0.000001,1,136736,18231,50,1,0,18231,82714047,0.072319,0.339888,3.06377,3.47598,0.01,0,0.000187682,false
nomad-R2-50-reg-0.000001,1,136736,2560,50,1,0,2560,12014080,0.075538,0.073143,0.460655,0.609336,0,0,0.000216669,false
nomad-R2-50-reg-0.000001,1,136736,911,50,1,0,911,4721713,0.074308,0.002745,0.123024,0.200077,0.0005,0,0.000160192,false
nomad-R2-50-reg-0.000001,1,136736,9115,50,1,0,9115,45565885,0.082599,0.34198,2.00344,2.42801,0.005,0,0.000260445,false
