model,K,num_users,num_items,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time,user_sample_ratio,blocked_mm_sample_time,simdex_sample_time,simdex_wins
lemp-paper-KDD-50,1,1000990,624961,51,1,1,4096,8,10,3,45.4622,0.628671,0.430349,3.2582,4.31722,0.001,0,0.00325805,0
lemp-paper-KDD-50,1,1000990,624961,51,1,1,4096,8,10,3,45.4782,0.620646,0.424627,13.3612,14.4065,0.005,0,0.00267005,0
lemp-paper-KDD-50,1,1000990,624961,51,1,1,4096,8,10,3,45.5024,0.637299,0.434264,9.70849,10.78,0,0,0.0038694,0
lemp-paper-KDD-50,1,1000990,624961,51,1,1,4096,8,10,3,45.5083,0.634133,0.430441,39.8683,40.9329,0.01,0,0.00398323,0
lemp-paper-KDD-50,1,1000990,624961,51,1,1,4096,8,10,3,51.4089,0.62562,0.429661,2.45094,3.50622,0.0005,0,0.00490155,0
lemp-paper-KDD-50,1,1000990,624961,51,1,1,4096,8,10,3,51.5644,0.629481,0.43597,0.328649,1.3941,0.0001,0,0.00328316,0
lemp-paper-Netflix-noav-50,1,480189,17770,50,1,1,4096,8,10,3,15.3316,0.298821,0.12281,0.01346,0.435091,0.0001,0,0.000277833,0
lemp-paper-Netflix-noav-50,1,480189,17770,50,1,1,4096,8,10,3,15.4505,0.297549,0.121752,0.050168,0.469469,0.0005,0,0.000208496,0
lemp-paper-Netflix-noav-50,1,480189,17770,50,1,1,4096,8,10,3,17.2711,0.296928,0.118937,0.094108,0.509973,0.001,0,0.000195769,0
lemp-paper-Netflix-noav-50,1,480189,17770,50,1,1,4096,8,10,3,17.2953,0.299092,0.122713,0.413289,0.835094,0,0,0.000161394,0
nomad-KDD-50-reg-1,1,1000990,624961,50,1,1,4096,8,10,3,30.8629,0.617037,0.424251,97.6194,98.6606,0.005,0,0.0195082,0
nomad-KDD-50-reg-1,1,1000990,624961,50,1,1,4096,8,10,3,30.9815,0.614641,0.427221,192.834,193.876,0.01,0,0.019266,0
nomad-KDD-50-reg-1,1,1000990,624961,50,1,1,4096,8,10,3,37.0081,0.619565,0.421362,46.466,47.507,0,0,0.0181507,0
nomad-KDD-50-reg-1,1,1000990,624961,50,1,1,4096,8,10,3,37.1097,0.620343,0.425647,19.8174,20.8634,0.001,0,0.0198173,0
nomad-KDD-50-reg-1,1,1000990,624961,50,1,1,4096,8,10,3,37.2796,0.622758,0.429135,2.31389,3.36579,0.0001,0,0.0231357,0
nomad-Netflix-50-reg-0.05,1,480189,17770,50,1,1,4096,8,10,3,11.2455,0.299586,0.122828,0.563386,0.9858,0.01,0,0.00011732,0
nomad-Netflix-50-reg-0.05,1,480189,17770,50,1,1,4096,8,10,3,11.2856,0.299966,0.122256,0.07535,0.497572,0.0005,0,0.000313425,0
nomad-Netflix-50-reg-0.05,1,480189,17770,50,1,1,4096,8,10,3,11.294,0.300353,0.12273,0.019452,0.442535,0.0001,0,0.000402813,0
nomad-Netflix-50-reg-0.05,1,480189,17770,50,1,1,4096,8,10,3,9.39705,0.298686,0.122568,0.338181,0.759435,0,0,0.000132051,0
nomad-Netflix-50-reg-0.05,1,480189,17770,50,1,1,4096,8,10,3,9.40348,0.298719,0.122072,0.094224,0.515015,0.001,0,0.00019606,0
nomad-Netflix-50-reg-0.05,1,480189,17770,50,1,1,4096,8,10,3,9.4134,0.299056,0.121698,0.311292,0.732046,0.005,0,0.000129653,0
nomad-R2-50-reg-0.000001,1,1823179,136736,50,1,1,4096,8,10,3,37.3585,1.12048,0.446853,2.43399,4.00133,0.01,0,0.000133501,0
nomad-R2-50-reg-0.000001,1,1823179,136736,50,1,1,4096,8,10,3,37.4194,1.12465,0.455415,0.412933,1.993,0,0,0.000161247,0
nomad-R2-50-reg-0.000001,1,1823179,136736,50,1,1,4096,8,10,3,44.1718,1.12797,0.452776,0.307283,1.88802,0.001,0,0.000168473,0
nomad-R2-50-reg-0.000001,1,1823179,136736,50,1,1,4096,8,10,3,44.3217,1.12011,0.447525,1.27953,2.84717,0.005,0,0.000140341,0
