model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
lemp-paper-Netflix-50,5,50,1,10,256,64,10,3,28.9951,0.408382,0.093443,19.4599,19.9617
lemp-paper-Netflix-50,5,50,1,10,256,4096,10,3,28.5885,17.5176,0.486711,60.1171,78.1215
lemp-paper-Netflix-50,5,50,1,1,256,1024,10,3,28.6703,3.6611,0.232045,24.0154,27.9085
lemp-paper-Netflix-50,1,50,1,5,256,128,10,3,28.598,0.553185,0.0754584,14.7486,15.3773
lemp-paper-Netflix-50,1,50,1,1,256,256,10,3,28.4672,0.933973,0.098387,17.3318,18.3642
lemp-paper-Netflix-50,50,50,1,10,256,2048,10,3,28.7063,6.60571,0.275674,61.6342,68.5156
lemp-paper-Netflix-50,50,50,1,5,256,4096,10,3,28.5511,20.54,0.494725,55.9227,76.9575
lemp-paper-Netflix-50,50,50,1,1,256,4096,10,3,28.5148,16.0717,0.469406,48.6624,65.2035
lemp-paper-Netflix-50,5,50,1,1,256,2048,10,3,28.6835,7.05967,0.275924,23.8171,31.1527
lemp-paper-Netflix-50,1,50,1,1,256,64,10,3,28.4673,0.371441,0.0757425,19.0255,19.4727
lemp-paper-Netflix-50,1,50,1,10,256,128,10,3,28.4569,0.598895,0.116082,14.5599,15.2748
lemp-paper-Netflix-50,50,50,1,1,256,2048,10,3,28.4168,6.55847,0.271727,47.953,54.7832
lemp-paper-Netflix-50,1,50,1,10,256,4096,10,3,28.538,13.0021,0.486705,49.2949,62.7837
lemp-paper-Netflix-50,10,50,1,10,256,128,10,3,28.6734,0.618409,0.0987425,24.9432,25.6603
lemp-paper-Netflix-50,50,50,1,10,256,256,10,3,29.3685,1.08133,0.100966,45.4111,46.5934
lemp-paper-Netflix-50,5,50,1,3,256,128,10,3,29.0262,0.52678,0.0857283,22.8143,23.4268
lemp-paper-Netflix-50,1,50,1,3,256,256,10,3,28.4213,1.09246,0.0897802,15.522,16.7043
lemp-paper-Netflix-50,5,50,1,5,256,1024,10,3,28.9086,3.732,0.184072,22.3098,26.2258
lemp-paper-Netflix-50,5,50,1,10,256,1024,10,3,28.5329,3.49563,0.173892,28.2752,31.9447
lemp-paper-Netflix-50,10,50,1,3,256,2048,10,3,28.7656,6.74418,0.280525,30.32,37.3447
lemp-paper-Netflix-50,50,50,1,5,256,512,10,3,29.0386,1.80442,0.125778,43.9879,45.9181
lemp-paper-Netflix-50,10,50,1,10,256,512,10,3,28.7558,1.83805,0.120388,27.8345,29.793
lemp-paper-Netflix-50,10,50,1,3,256,4096,10,3,28.7364,14.39,0.488956,31.4452,46.3241
lemp-paper-Netflix-50,50,50,1,5,256,1024,10,3,29.8787,3.68148,0.195356,47.4219,51.2987
lemp-paper-Netflix-50,50,50,1,5,256,2048,10,3,28.6297,6.70348,0.27382,49.4704,56.4477
lemp-paper-Netflix-50,5,50,1,1,256,128,10,3,28.9667,0.597785,0.0959502,25.0026,25.6963
lemp-paper-Netflix-50,1,50,1,5,256,2048,10,3,28.645,6.75365,0.272261,17.0321,24.058
lemp-paper-Netflix-50,1,50,1,1,256,4096,10,3,28.4672,15.1217,0.487342,17.2014,32.8105
lemp-paper-Netflix-50,5,50,1,10,256,256,10,3,28.4628,1.00079,0.0990262,21.4859,22.5858
lemp-paper-Netflix-50,50,50,1,5,256,128,10,3,28.4255,0.576806,0.0909386,45.9932,46.6609
lemp-paper-Netflix-50,10,50,1,10,256,64,10,3,28.6445,0.418555,0.0896282,23.9286,24.4368
lemp-paper-Netflix-50,5,50,1,5,256,2048,10,3,28.5636,6.8272,0.280658,23.9854,31.0933
lemp-paper-Netflix-50,10,50,1,5,256,256,10,3,28.5859,1.06014,0.0973088,25.2321,26.3896
lemp-paper-Netflix-50,5,50,1,5,256,512,10,3,28.939,1.8499,0.118318,20.8058,22.7741
lemp-paper-Netflix-50,10,50,1,3,256,512,10,3,29.0819,1.88548,0.124657,26.079,28.0892
lemp-paper-Netflix-50,1,50,1,1,256,128,10,3,28.3769,0.589837,0.0792122,17.8354,18.5044
