model,K,num_latent_factors,alg,scaling_value,sigma,preproc_time,comp_time
fexipro-paper-KDD-50,1,50,SI,100,0.7,9.003606,798.819060
fexipro-paper-KDD-50,1,50,SI,127,0.8,8.996532,849.200458
fexipro-paper-KDD-50,1,50,SIR,100,0.7,9.565091,816.354584
fexipro-paper-KDD-50,1,50,SIR,127,0.8,9.295009,799.324444
fexipro-paper-KDD-50,10,50,SI,100,0.7,9.080342,2918.256377
fexipro-paper-KDD-50,10,50,SI,127,0.8,8.885145,3225.871379
fexipro-paper-KDD-50,10,50,SIR,100,0.7,9.314674,3142.003224
fexipro-paper-KDD-50,10,50,SIR,127,0.8,9.288298,3109.504500
fexipro-paper-KDD-50,5,50,SI,100,0.7,9.230209,2119.045556
fexipro-paper-KDD-50,5,50,SI,127,0.8,8.965814,2221.653615
fexipro-paper-KDD-50,5,50,SIR,100,0.7,9.331297,2168.111090
fexipro-paper-KDD-50,5,50,SIR,127,0.8,9.406265,2140.786816
fexipro-paper-KDD-50,50,50,SI,100,0.7,9.006222,6747.477984
fexipro-paper-KDD-50,50,50,SI,127,0.8,8.926263,7334.770940
fexipro-paper-KDD-50,50,50,SIR,100,0.7,9.528218,7500.551334
fexipro-paper-KDD-50,50,50,SIR,127,0.8,9.382911,7083.754646
fexipro-paper-Netflix-50,1,50,SI,100,0.7,0.148807,101.942296
fexipro-paper-Netflix-50,1,50,SI,127,0.8,0.101224,85.165645
fexipro-paper-Netflix-50,1,50,SIR,100,0.7,0.132109,114.246917
fexipro-paper-Netflix-50,1,50,SIR,127,0.8,0.131928,94.838765
fexipro-paper-Netflix-50,10,50,SI,100,0.7,0.125234,150.155232
fexipro-paper-Netflix-50,10,50,SI,127,0.8,0.124569,132.420619
fexipro-paper-Netflix-50,10,50,SIR,100,0.7,0.133577,174.069093
fexipro-paper-Netflix-50,10,50,SIR,127,0.8,0.131278,141.481212
fexipro-paper-Netflix-50,5,50,SI,100,0.7,0.118516,137.027859
fexipro-paper-Netflix-50,5,50,SI,127,0.8,0.120163,112.182589
fexipro-paper-Netflix-50,5,50,SIR,100,0.7,0.206824,152.714345
fexipro-paper-Netflix-50,5,50,SIR,127,0.8,0.134218,123.307285
fexipro-paper-Netflix-50,50,50,SI,100,0.7,0.123785,204.037720
fexipro-paper-Netflix-50,50,50,SI,127,0.8,0.097749,180.665833
fexipro-paper-Netflix-50,50,50,SIR,100,0.7,0.132550,261.127493
fexipro-paper-Netflix-50,50,50,SIR,127,0.8,0.096838,206.939952
lemp-paper-KDD-50,1,51,SI,127,0.8,9.053213,5603.059001
lemp-paper-KDD-50,1,51,SIR,127,0.8,9.544213,57291.416243
lemp-paper-KDD-50,10,51,SI,127,0.8,14.640776,22281.040010
lemp-paper-KDD-50,10,51,SIR,127,0.8,15.606425,182987.261353
lemp-paper-KDD-50,5,51,SI,127,0.8,8.961710,9372.709199
lemp-paper-KDD-50,5,51,SIR,127,0.8,9.484643,101447.098399
lemp-paper-KDD-50,50,51,SI,127,0.8,9.016165,19607.231870
lemp-paper-KDD-50,50,51,SIR,127,0.8,9.395411,114371.404830
lemp-paper-Netflix-50,1,50,SI,127,0.8,0.117441,60.445736
lemp-paper-Netflix-50,1,50,SIR,127,0.8,0.128976,56.470246
lemp-paper-Netflix-50,10,50,SI,127,0.8,0.105661,99.873490
lemp-paper-Netflix-50,10,50,SIR,127,0.8,0.124630,96.237115
lemp-paper-Netflix-50,5,50,SI,127,0.8,0.115003,83.165325
lemp-paper-Netflix-50,5,50,SIR,127,0.8,0.125082,78.782671
lemp-paper-Netflix-50,50,50,SI,127,0.8,0.115280,163.903445
lemp-paper-Netflix-50,50,50,SIR,127,0.8,0.130910,159.223882
lemp-paper-Netflix-noav-10,1,10,SI,127,0.8,0.029533,12.668358
lemp-paper-Netflix-noav-10,1,10,SIR,127,0.8,0.037980,15.566381
lemp-paper-Netflix-noav-10,10,10,SI,127,0.8,0.030897,22.280924
lemp-paper-Netflix-noav-10,10,10,SIR,127,0.8,0.033876,26.945635
lemp-paper-Netflix-noav-10,5,10,SI,127,0.8,0.031862,18.009804
lemp-paper-Netflix-noav-10,5,10,SIR,127,0.8,0.033561,21.999216
lemp-paper-Netflix-noav-10,50,10,SI,127,0.8,0.027855,41.997117
lemp-paper-Netflix-noav-10,50,10,SIR,127,0.8,0.034261,49.821838
lemp-paper-Netflix-noav-100,1,100,SI,127,0.8,0.242447,625.109763
lemp-paper-Netflix-noav-100,1,100,SIR,127,0.8,0.247725,607.235382
lemp-paper-Netflix-noav-100,10,100,SI,127,0.8,0.242835,777.327286
lemp-paper-Netflix-noav-100,10,100,SIR,127,0.8,0.253559,788.365792
lemp-paper-Netflix-noav-100,5,100,SI,127,0.8,0.241189,716.187550
lemp-paper-Netflix-noav-100,5,100,SIR,127,0.8,0.248770,728.618402
lemp-paper-Netflix-noav-100,50,100,SI,127,0.8,0.235121,902.668952
lemp-paper-Netflix-noav-100,50,100,SIR,127,0.8,0.247019,958.016973
