model,num_latent_factors,num_threads,K,block_size,gemm_time,pr_queue_time,comp_time
lemp-paper-Glove-100,100,1,1,1280,566.245,115.868,682.113
lemp-paper-Glove-100,100,1,10,1280,563.71,123.447,687.156
lemp-paper-Glove-100,100,1,5,1280,565.383,125.884,691.267
lemp-paper-Glove-100,100,1,50,1280,563.736,126.622,690.358
lemp-paper-Glove-200,200,1,1,640,1091.35,114.85,1206.2
lemp-paper-Glove-200,200,1,10,640,1084.89,124.727,1209.62
lemp-paper-Glove-200,200,1,5,640,1095.97,126.988,1222.96
lemp-paper-Glove-200,200,1,50,640,1101.04,131.141,1232.18
lemp-paper-Glove-25,25,1,1,5120,705.801,133.734,839.535
lemp-paper-Glove-25,25,1,10,5120,429.364,132.029,561.393
lemp-paper-Glove-25,25,1,5,5120,528.065,156.486,684.551
lemp-paper-Glove-25,25,1,50,5120,395.472,133.679,529.151
lemp-paper-Glove-50,50,1,1,2560,357.147,116.303,473.45
lemp-paper-Glove-50,50,1,10,2560,357.722,126.073,483.795
lemp-paper-Glove-50,50,1,5,2560,357.702,124.078,481.78
lemp-paper-Glove-50,50,1,50,2560,356.405,127.561,483.966
