model,num_threads,num_items,num_users,num_latent_factors,K,dummy,num_results,num_comparisons,preproc_time,index_time,retrieval_time,comp_time
lemp-paper-Glove-100,1,1093514,100000,100,1,0,100000,48962005932,7.47465,87.402,4113.21,4208.08
lemp-paper-Glove-100,1,1093514,100000,100,10,0,1000000,77853306017,7.41816,104.99,5915.38,6027.78
lemp-paper-Glove-100,1,1093514,100000,100,5,0,500000,69158500962,7.41207,107.091,5592.74,5707.24
lemp-paper-Glove-100,1,1093514,100000,100,50,0,5000000,99057213833,7.52552,144.043,7212.94,7364.5
lemp-paper-Glove-200,1,1093514,100000,200,1,0,100000,103269868613,31.9689,308.258,13789.8,14130
lemp-paper-Glove-200,1,1093514,100000,200,10,0,1000000,108011798462,32.0765,313.865,14244.3,14590.3
lemp-paper-Glove-200,1,1093514,100000,200,5,0,500000,107773238132,31.9314,290.617,13811.9,14134.4
lemp-paper-Glove-200,1,1093514,100000,200,50,0,5000000,108737885804,13.9395,316.12,13995.4,14325.5
lemp-paper-Glove-25,1,1093514,100000,25,1,0,100000,1034515906,0.624261,0.974625,38.9027,40.5016
lemp-paper-Glove-25,1,1093514,100000,25,10,0,1000000,4449585358,0.776425,2.65321,105.078,108.508
lemp-paper-Glove-25,1,1093514,100000,25,5,0,500000,3086417626,0.707982,1.96539,79.5067,82.1801
lemp-paper-Glove-25,1,1093514,100000,25,50,0,5000000,8278086984,1.18695,4.38789,258.382,263.957
lemp-paper-Glove-50,1,1093514,100000,50,1,0,100000,5518831124,3.04614,10.3388,466.036,479.421
lemp-paper-Glove-50,1,1093514,100000,50,10,0,1000000,14381788261,3.45161,23.035,1121.36,1147.85
lemp-paper-Glove-50,1,1093514,100000,50,5,0,500000,15051881928,3.259,17.8774,997.253,1018.39
lemp-paper-Glove-50,1,1093514,100000,50,50,0,5000000,38556778034,3.8186,31.9838,2097.06,2132.86
