model,K,num_users,num_items,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
lemp-paper-Glove-200,1,100000,1093514,200,1,1,4096,1,10,3,99.8673,0.079462,0.960295,22613,22614
lemp-paper-Glove-200,1,100000,1093514,200,1,1,4096,64,10,3,98.8284,1.60704,1.71095,22569.4,22572.8
lemp-paper-Glove-200,1,100000,1093514,200,1,1,4096,8,10,3,98.7253,0.255991,1.11575,22644.3,22645.6
lemp-paper-Glove-200,10,100000,1093514,200,1,1,4096,1,10,3,98.4354,0.078304,0.954846,22350,22351.1
lemp-paper-Glove-200,10,100000,1093514,200,1,1,4096,64,10,3,98.8097,1.60784,1.60001,22583.5,22586.7
lemp-paper-Glove-200,10,100000,1093514,200,1,1,4096,8,10,3,98.7034,0.255796,1.05354,22638.9,22640.2
lemp-paper-Glove-200,5,100000,1093514,200,1,1,4096,1,10,3,98.7146,0.079071,1.09156,22640.1,22641.3
lemp-paper-Glove-200,5,100000,1093514,200,1,1,4096,64,10,3,99.8999,1.60072,1.60416,22555.2,22558.4
lemp-paper-Glove-200,5,100000,1093514,200,1,1,4096,8,10,3,98.8694,0.255387,1.04125,22346.6,22347.8
lemp-paper-Glove-200,50,100000,1093514,200,1,1,4096,1,10,3,99.2107,0.077447,0.943043,22307.2,22308.2
lemp-paper-Glove-200,50,100000,1093514,200,1,1,4096,64,10,3,98.5812,1.60182,1.60249,22637.2,22640.4
lemp-paper-Glove-200,50,100000,1093514,200,1,1,4096,8,10,3,100.334,0.255735,1.03927,22209.6,22210.9
