model,num_threads,num_items,num_users,num_latent_factors,K,dummy_1,dummy_2,dummy_3,preproc_time,index_time,retrieval_time,comp_time
interpolation-KDD-100-reg-1-0.1-items,1,62496,1000990,100,1,0,1000990,8633649246,0.861401,2.05643,836.439,839.357
interpolation-KDD-100-reg-1-0.1-users,1,624961,100099,100,1,0,100099,5144797915,3.89657,16.1615,659.185,679.243
interpolation-KDD-100-reg-1-0.2-items,1,124992,1000990,100,1,0,1000990,15736430428,1.23896,4.24691,1915.34,1920.82
interpolation-KDD-100-reg-1-0.2-users,1,624961,200198,100,1,0,200198,11451172989,3.89523,17.6216,1310.32,1331.83
interpolation-KDD-100-reg-1-0.3-items,1,187488,1000990,100,1,0,1000990,17889111311,1.61498,5.50415,2316.66,2323.78
interpolation-KDD-100-reg-1-0.3-users,1,624961,300297,100,1,0,300297,16196840218,3.95241,15.7843,1979.96,1999.69
interpolation-KDD-100-reg-1-0.4-items,1,249984,1000990,100,1,0,1000990,26097294674,2.03165,7.34187,3091.73,3101.11
interpolation-KDD-100-reg-1-0.4-users,1,624961,400396,100,1,0,400396,21137287751,4.14259,16.3618,2670.12,2690.62
interpolation-KDD-100-reg-1-0.5-items,1,312480,1000990,100,1,0,1000990,32199165297,2.49056,9.5618,4081.88,4093.93
interpolation-KDD-100-reg-1-0.5-users,1,624961,500495,100,1,0,500495,23990888937,4.0681,14.7802,3336.8,3355.65
interpolation-KDD-100-reg-1-0.6-items,1,374976,1000990,100,1,0,1000990,34732600648,2.78635,10.8322,4456.8,4470.42
interpolation-KDD-100-reg-1-0.6-users,1,624961,600594,100,1,0,600594,32952403961,4.0749,16.5172,4017.88,4038.47
interpolation-KDD-100-reg-1-0.7-items,1,437472,1000990,100,1,0,1000990,43227217126,3.1117,11.7694,4990.1,5004.99
interpolation-KDD-100-reg-1-0.7-users,1,624961,700693,100,1,0,700693,38481318721,4.14001,16.0844,4632.02,4652.24
interpolation-KDD-100-reg-1-0.8-items,1,499968,1000990,100,1,0,1000990,46390212598,3.61467,13.3567,5572.92,5589.89
interpolation-KDD-100-reg-1-0.8-users,1,624961,800792,100,1,0,800792,44325932123,4.18543,17.7417,5378.06,5399.98
interpolation-KDD-100-reg-1-0.9-items,1,562464,1000990,100,1,0,1000990,49667355363,3.94606,14.4734,6099.64,6118.06
interpolation-KDD-100-reg-1-0.9-users,1,624961,900891,100,1,0,900891,51833924451,4.641,18.1118,6124.43,6147.18
interpolation-KDD-100-reg-1-1.0-items,1,624961,1000990,100,1,0,1000990,57920303168,4.1942,15.163,6700.59,6719.95
interpolation-KDD-100-reg-1-1.0-users,1,624961,1000990,100,1,0,1000990,57920303168,4.1942,15.163,6700.59,6719.95
interpolation-KDD-100-reg-1-0.1-items,1,62496,1000990,100,5,0,5004950,15650661019,1.12203,3.29081,1297.35,1301.77
interpolation-KDD-100-reg-1-0.1-users,1,624961,100099,100,5,0,500495,8164289384,4.75688,27.9453,951.13,983.832
interpolation-KDD-100-reg-1-0.2-items,1,124992,1000990,100,5,0,5004950,28707345602,1.23802,5.06822,2543.83,2550.14
interpolation-KDD-100-reg-1-0.2-users,1,624961,200198,100,5,0,1000990,19484409012,4.05081,22.8501,1955.41,1982.31
interpolation-KDD-100-reg-1-0.3-items,1,187488,1000990,100,5,0,5004950,39920236122,1.67355,7.7833,3632.23,3641.69
interpolation-KDD-100-reg-1-0.3-users,1,624961,300297,100,5,0,1501485,27445186603,4.05329,19.7918,2782.42,2806.26
interpolation-KDD-100-reg-1-0.4-items,1,249984,1000990,100,5,0,5004950,47102917493,2.03427,10.5451,4539.47,4552.04
interpolation-KDD-100-reg-1-0.4-users,1,624961,400396,100,5,0,2001980,36507694116,4.19072,21.5005,3834.7,3860.39
interpolation-KDD-100-reg-1-0.5-items,1,312480,1000990,100,5,0,5004950,58130491523,3.14269,15.6401,5651.49,5670.27
interpolation-KDD-100-reg-1-0.5-users,1,624961,500495,100,5,0,2502475,43834027238,5.13006,25.5947,4809.32,4840.05
interpolation-KDD-100-reg-1-0.6-items,1,374976,1000990,100,5,0,5004950,65642384229,2.813,14.3311,6406.9,6424.05
interpolation-KDD-100-reg-1-0.6-users,1,624961,600594,100,5,0,3002970,55908125442,4.17539,21.7989,5853.39,5879.36
interpolation-KDD-100-reg-1-0.7-items,1,437472,1000990,100,5,0,5004950,75042608614,3.17345,15.5587,7078.73,7097.46
interpolation-KDD-100-reg-1-0.7-users,1,624961,700693,100,5,0,3503465,62772127153,4.14344,20.2159,6448.68,6473.03
interpolation-KDD-100-reg-1-0.8-items,1,499968,1000990,100,5,0,5004950,79786572074,3.61145,17.7791,8009.49,8030.88
interpolation-KDD-100-reg-1-0.8-users,1,624961,800792,100,5,0,4003960,73521864033,4.28082,23.7727,7637.24,7665.29
interpolation-KDD-100-reg-1-0.9-items,1,562464,1000990,100,5,0,5004950,86181766426,5.01345,24.4057,8928.76,8958.18
interpolation-KDD-100-reg-1-0.9-users,1,624961,900891,100,5,0,4504455,82662681405,4.59796,22.0025,8650.24,8676.84
interpolation-KDD-100-reg-1-1.0-items,1,624961,1000990,100,5,0,5004950,95061440603,4.35811,21.2119,9694.96,9720.53
interpolation-KDD-100-reg-1-1.0-users,1,624961,1000990,100,5,0,5004950,95061440603,4.35811,21.2119,9694.96,9720.53
