model,num_latent_factors,num_threads,K,block_size,gemm_time,pr_queue_time,comp_time
lemp-paper-KDD-50,50,1,1,25000,1018.31,387.609,1405.92
lemp-paper-KDD-50,50,1,10,25000,1017.7,553.21,1570.91
lemp-paper-KDD-50,50,1,5,25000,1019.69,552.255,1571.94
lemp-paper-KDD-50,50,1,50,25000,1018.13,558.739,1576.87
nomad-KDD-10-reg-0.001,10,1,1,25000,397.992,389.699,787.691
nomad-KDD-10-reg-0.001,10,1,10,25000,397.525,556.475,953.999
nomad-KDD-10-reg-0.001,10,1,5,25000,397.69,553.134,950.824
nomad-KDD-10-reg-0.001,10,1,50,25000,397.761,579.22,976.981
nomad-KDD-10-reg-0.01,10,1,1,25000,397.649,389.97,787.618
nomad-KDD-10-reg-0.01,10,1,10,25000,397.845,556.077,953.922
nomad-KDD-10-reg-0.01,10,1,5,25000,398.009,553.367,951.376
nomad-KDD-10-reg-0.01,10,1,50,25000,397.734,579.78,977.513
nomad-KDD-10-reg-0.1,10,1,1,25000,397.936,389.68,787.616
nomad-KDD-10-reg-0.1,10,1,10,25000,398.136,556.566,954.702
nomad-KDD-10-reg-0.1,10,1,5,25000,397.771,553.309,951.08
nomad-KDD-10-reg-0.1,10,1,50,25000,398.166,579.008,977.174
nomad-KDD-10-reg-1,10,1,1,25000,397.421,389.757,787.178
nomad-KDD-10-reg-1,10,1,10,25000,397.567,555.869,953.436
nomad-KDD-10-reg-1,10,1,5,25000,397.992,553.048,951.04
nomad-KDD-10-reg-1,10,1,50,25000,398.16,579.548,977.708
nomad-KDD-100-reg-0.001,100,1,1,25000,1640.67,392.782,2033.45
nomad-KDD-100-reg-0.001,100,1,10,25000,1638.76,557.112,2195.87
nomad-KDD-100-reg-0.001,100,1,5,25000,1640.08,556.146,2196.22
nomad-KDD-100-reg-0.001,100,1,50,25000,1633.71,581.313,2215.03
nomad-KDD-100-reg-0.01,100,1,1,25000,1639.04,392.563,2031.6
nomad-KDD-100-reg-0.01,100,1,10,25000,1638.12,559.488,2197.61
nomad-KDD-100-reg-0.01,100,1,5,25000,1642.29,556.092,2198.38
nomad-KDD-100-reg-0.01,100,1,50,25000,1626.14,578.471,2204.61
nomad-KDD-100-reg-0.1,100,1,1,25000,1639.4,392.312,2031.71
nomad-KDD-100-reg-0.1,100,1,10,25000,1629.84,555.626,2185.47
nomad-KDD-100-reg-0.1,100,1,5,25000,1632.16,556.313,2188.48
nomad-KDD-100-reg-0.1,100,1,50,25000,1641.36,582.7,2224.06
nomad-KDD-25-reg-0.001,25,1,1,25000,567.278,387.336,954.613
nomad-KDD-25-reg-0.001,25,1,10,25000,566.252,554.345,1120.6
nomad-KDD-25-reg-0.001,25,1,5,25000,565.979,551.263,1117.24
nomad-KDD-25-reg-0.001,25,1,50,25000,566.158,578.174,1144.33
nomad-KDD-25-reg-0.01,25,1,1,25000,566.026,387.311,953.337
nomad-KDD-25-reg-0.01,25,1,10,25000,566.047,554.424,1120.47
nomad-KDD-25-reg-0.01,25,1,5,25000,566.159,552.189,1118.35
nomad-KDD-25-reg-0.01,25,1,50,25000,566.079,578.546,1144.62
nomad-KDD-25-reg-0.1,25,1,1,25000,565.999,387.387,953.385
nomad-KDD-25-reg-0.1,25,1,10,25000,566.39,553.828,1120.22
nomad-KDD-25-reg-0.1,25,1,5,25000,566.015,551.486,1117.5
nomad-KDD-25-reg-0.1,25,1,50,25000,565.965,578.495,1144.46
nomad-KDD-25-reg-1,25,1,1,25000,565.843,387.616,953.459
nomad-KDD-25-reg-1,25,1,10,25000,566.445,554.392,1120.84
nomad-KDD-25-reg-1,25,1,5,25000,565.681,552.194,1117.88
nomad-KDD-25-reg-1,25,1,50,25000,566.023,577.715,1143.74
nomad-KDD-50-reg-0.1,50,1,1,25000,1019.21,389.976,1409.18
nomad-KDD-50-reg-0.1,50,1,10,25000,1019.06,555.847,1574.91
nomad-KDD-50-reg-0.1,50,1,5,25000,1017.65,553.809,1571.46
nomad-KDD-50-reg-0.1,50,1,50,25000,1018.18,578.623,1596.8
nomad-KDD-50-reg-1,50,1,1,25000,1047.33,396.207,1443.54
nomad-KDD-50-reg-1,50,1,10,25000,1112.11,556.734,1668.85
nomad-KDD-50-reg-1,50,1,5,25000,1010.49,550.517,1561.01
nomad-KDD-50-reg-1,50,1,50,25000,1014.58,581.51,1596.09
pb-new-kdd-10,10,1,1,25000,400.636,388.212,788.849
pb-new-kdd-10,10,1,10,25000,400.333,551.872,952.206
pb-new-kdd-10,10,1,5,25000,400.242,551.537,951.779
pb-new-kdd-10,10,1,50,25000,400.449,555.724,956.173
pb-new-kdd-25,25,1,1,25000,567.04,388.991,956.031
pb-new-kdd-25,25,1,10,25000,566.233,552.139,1118.37
pb-new-kdd-25,25,1,5,25000,567.017,551.971,1118.99
pb-new-kdd-25,25,1,50,25000,566.507,555.662,1122.17
pb-new-kdd-50,50,1,1,25000,1018.19,388.645,1406.84
pb-new-kdd-50,50,1,10,25000,1018.85,552.384,1571.23
pb-new-kdd-50,50,1,5,25000,1018.88,551.865,1570.75
pb-new-kdd-50,50,1,50,25000,1019.85,555.13,1574.98
sigmod-deadline-kdd-10,10,1,1,25000,400.195,388.939,789.134
sigmod-deadline-kdd-10,10,1,10,25000,400.222,552.185,952.407
sigmod-deadline-kdd-10,10,1,5,25000,400.513,552.08,952.592
sigmod-deadline-kdd-10,10,1,50,25000,400.441,554.426,954.867
sigmod-deadline-kdd-25,25,1,1,25000,566.53,388.714,955.244
sigmod-deadline-kdd-25,25,1,10,25000,566.521,552.284,1118.81
sigmod-deadline-kdd-25,25,1,5,25000,567.148,552.4,1119.55
