model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
pb-new-kdd-10,1,10,1,10,256,1024,10,3,6.38861,4.42344,3.83631,250.363,258.623
pb-new-kdd-10,10,10,1,5,256,2048,10,3,6.04894,7.98651,5.80258,234.27,248.059
pb-new-kdd-10,10,10,1,10,256,64,10,3,5.93544,0.449033,0.303502,63.2354,63.9879
pb-new-kdd-10,10,10,1,10,256,512,10,3,6.02458,2.19525,1.67221,151.973,155.841
pb-new-kdd-10,1,10,1,10,256,512,10,3,6.48003,2.33772,1.7789,132.469,136.585
pb-new-kdd-10,5,10,1,1,256,64,10,3,6.47424,0.431352,0.309533,197.071,197.812
pb-new-kdd-10,1,10,1,3,256,512,10,3,6.4458,2.29651,1.83623,44.1708,48.3035
pb-new-kdd-10,50,10,1,5,256,1024,10,3,5.90106,4.07643,2.92603,194.626,201.628
pb-new-kdd-10,1,10,1,1,256,2048,10,3,6.50145,8.52651,8.29924,54.9402,71.7659
pb-new-kdd-10,5,10,1,1,256,1024,10,3,6.54316,4.36791,4.14045,81.6338,90.1422
pb-new-kdd-10,1,10,1,3,256,1024,10,3,6.52744,4.37533,3.85586,72.2276,80.4588
pb-new-kdd-10,1,10,1,1,256,64,10,3,6.37189,0.451354,0.313044,90.9758,91.7402
pb-new-kdd-10,50,10,1,3,256,1024,10,3,5.84537,4.05512,2.93058,154.917,161.903
pb-new-kdd-10,5,10,1,10,256,1024,10,3,5.92771,3.97883,2.92553,247.916,254.82
pb-new-kdd-10,10,10,1,10,256,1024,10,3,6.06324,4.13456,2.95632,261.919,269.01
pb-new-kdd-10,50,10,1,1,256,256,10,3,6.22132,1.199,0.872501,341.698,343.769
pb-new-kdd-10,10,10,1,3,256,128,10,3,6.02864,0.731025,0.483886,67.432,68.6469
pb-new-kdd-10,10,10,1,5,256,64,10,3,5.93343,0.453969,0.311774,65.973,66.7388
pb-new-kdd-10,1,10,1,5,256,512,10,3,6.88347,2.27644,1.83806,68.7339,72.8484
pb-new-kdd-10,10,10,1,10,256,256,10,3,6.03715,1.22666,0.870045,96.1272,98.2239
pb-new-kdd-10,5,10,1,10,256,128,10,3,5.79338,0.746577,0.479014,57.8157,59.0413
pb-new-kdd-10,5,10,1,5,256,512,10,3,5.79443,2.13757,1.63859,75.0664,78.8425
pb-new-kdd-10,50,10,1,5,256,2048,10,3,5.88265,7.83964,5.79702,294.097,307.733
pb-new-kdd-10,10,10,1,3,256,256,10,3,6.00706,1.20888,0.871354,64.8376,66.9178
pb-new-kdd-10,5,10,1,5,256,128,10,3,5.77946,0.740698,0.479201,46.1814,47.4013
pb-new-kdd-10,1,10,1,1,256,256,10,3,6.49818,1.13285,0.897391,57.1273,59.1575
pb-new-kdd-10,1,10,1,1,256,512,10,3,6.55726,2.31827,1.84712,44.9077,49.0731
pb-new-kdd-10,5,10,1,1,256,128,10,3,6.40908,0.747564,0.466277,163.698,164.912
pb-new-kdd-10,5,10,1,3,256,2048,10,3,6.55611,8.45808,8.24242,139.232,155.933
pb-new-kdd-10,1,10,1,5,256,64,10,3,6.52503,0.449742,0.310481,25.1148,25.875
pb-new-kdd-10,5,10,1,10,256,256,10,3,5.93929,1.19217,0.863867,82.6812,84.7372
pb-new-kdd-10,10,10,1,3,256,512,10,3,5.88974,2.18608,1.65539,71.3276,75.1691
pb-new-kdd-10,1,10,1,3,256,2048,10,3,6.49445,8.4639,8.30554,127.211,143.98
pb-new-kdd-10,1,10,1,5,256,2048,10,3,6.46744,8.50046,8.13048,226.888,243.519
pb-new-kdd-10,10,10,1,1,256,512,10,3,5.93854,2.22531,1.60603,118.911,122.743
pb-new-kdd-10,50,10,1,1,256,512,10,3,5.81947,2.1686,1.64705,256.648,260.464
pb-new-kdd-10,5,10,1,3,256,1024,10,3,6.55639,4.42078,3.80565,86.8325,95.0589
pb-new-kdd-10,5,10,1,10,256,512,10,3,5.86743,2.14014,1.64148,136.223,140.005
pb-new-kdd-10,5,10,1,1,256,2048,10,3,6.56843,8.46362,8.01454,85.3064,101.785
pb-new-kdd-10,10,10,1,5,256,1024,10,3,5.92973,4.12266,2.94941,137.83,144.902
pb-new-kdd-10,50,10,1,10,256,2048,10,3,5.90824,7.8587,5.77726,537.523,551.159
pb-new-kdd-10,5,10,1,3,256,256,10,3,6.48327,1.23123,0.898414,53.0978,55.2274
pb-new-kdd-10,1,10,1,5,256,1024,10,3,6.52835,4.34858,3.8414,123.546,131.736
pb-new-kdd-10,50,10,1,1,256,2048,10,3,5.82493,7.86001,5.7706,184.631,198.262
pb-new-kdd-10,5,10,1,1,256,256,10,3,6.41566,1.22479,0.898382,115.405,117.528
pb-new-kdd-10,5,10,1,1,256,512,10,3,6.4207,2.283,1.70954,90.117,94.1095
pb-new-kdd-10,50,10,1,3,256,512,10,3,5.82726,2.16509,1.64667,139.335,143.147
pb-new-kdd-10,50,10,1,1,256,128,10,3,5.8467,0.760681,0.483307,419.178,420.422
pb-new-kdd-10,1,10,1,10,256,64,10,3,6.49659,0.440005,0.309203,30.5509,31.3001
pb-new-kdd-10,1,10,1,3,256,64,10,3,6.46938,0.437252,0.311708,26.5124,27.2613
pb-new-kdd-10,10,10,1,5,256,512,10,3,5.91089,2.18868,1.67865,90.4491,94.3164
pb-new-kdd-10,1,10,1,1,256,1024,10,3,6.53001,4.37513,3.83998,46.0691,54.2843
pb-new-kdd-10,1,10,1,10,256,2048,10,3,6.57511,8.52944,8.29396,484.797,501.62
pb-new-kdd-10,1,10,1,10,256,128,10,3,6.47437,0.724937,0.494789,43.8558,45.0755
pb-new-kdd-10,1,10,1,1,256,128,10,3,6.47878,0.710707,0.462776,71.5129,72.6864
pb-new-kdd-10,50,10,1,5,256,128,10,3,5.83359,0.738652,0.482081,135.569,136.79
pb-new-kdd-10,1,10,1,3,256,128,10,3,6.50571,0.737244,0.499636,26.6517,27.8886
pb-new-kdd-10,10,10,1,10,256,2048,10,3,5.93977,7.95141,5.91609,488.023,501.89
pb-new-kdd-10,1,10,1,5,256,256,10,3,6.52975,1.21703,0.897318,42.2294,44.3438
pb-new-kdd-10,10,10,1,1,256,128,10,3,6.0212,0.746848,0.481971,207.17,208.398
pb-new-kdd-10,1,10,1,10,256,256,10,3,6.44323,1.20358,0.861424,72.8131,74.8781
pb-new-kdd-10,5,10,1,10,256,2048,10,3,5.98442,7.94005,5.8485,475.888,489.677
pb-new-kdd-10,10,10,1,5,256,128,10,3,6.01456,0.742989,0.48858,62.9458,64.1773
pb-new-kdd-10,50,10,1,3,256,256,10,3,5.96264,1.20239,0.867982,142.103,144.174
pb-new-kdd-10,50,10,1,10,256,128,10,3,5.8145,0.753498,0.479398,135.158,136.391
pb-new-kdd-10,50,10,1,3,256,128,10,3,5.9604,0.735593,0.480913,156.718,157.934
pb-new-kdd-10,5,10,1,3,256,512,10,3,7.34669,2.26474,1.83409,62.1372,66.236
pb-new-kdd-10,50,10,1,10,256,1024,10,3,5.92591,4.04565,2.94689,312.728,319.72
pb-new-kdd-10,10,10,1,1,256,1024,10,3,5.98759,4.11032,2.95171,97.5605,104.622
pb-new-kdd-10,1,10,1,5,256,128,10,3,6.52902,0.743328,0.498573,29.7898,31.0317
pb-new-kdd-10,5,10,1,5,256,64,10,3,5.83207,0.446772,0.302644,46.5443,47.2937
pb-new-kdd-10,10,10,1,1,256,64,10,3,6.02479,0.455722,0.309422,234.909,235.674
pb-new-kdd-10,50,10,1,5,256,256,10,3,5.90379,1.18456,0.865901,132.667,134.717
pb-new-kdd-10,10,10,1,1,256,2048,10,3,5.99368,7.97222,5.80618,91.5993,105.378
pb-new-kdd-10,50,10,1,10,256,256,10,3,5.82474,1.19556,0.866128,154.74,156.802
pb-new-kdd-10,10,10,1,10,256,128,10,3,5.9492,0.74289,0.482294,71.7622,72.9874
pb-new-kdd-10,10,10,1,1,256,256,10,3,5.96786,1.21165,0.798876,158.264,160.275
pb-new-kdd-10,50,10,1,5,256,512,10,3,5.9082,2.20754,1.51402,148.969,152.691
pb-new-kdd-10,50,10,1,10,256,512,10,3,5.90786,2.17553,1.64697,204.986,208.808
pb-new-kdd-10,50,10,1,1,256,1024,10,3,5.82248,4.03783,2.93273,211.276,218.246
pb-new-kdd-10,50,10,1,3,256,2048,10,3,5.92542,7.82,5.77485,198.996,212.591
pb-new-kdd-10,5,10,1,3,256,64,10,3,6.49194,0.445,0.3066,57.2145,57.9661
pb-new-kdd-10,10,10,1,3,256,64,10,3,5.92345,0.453233,0.308759,77.1039,77.8659
pb-new-kdd-10,10,10,1,3,256,1024,10,3,5.92454,4.09778,2.96864,90.8088,97.8752
pb-new-kdd-10,5,10,1,5,256,2048,10,3,5.8763,7.83271,5.78545,211.464,225.082
pb-new-kdd-10,5,10,1,5,256,256,10,3,5.79008,1.18553,0.861925,54.2781,56.3256
pb-new-kdd-10,5,10,1,3,256,128,10,3,6.48275,0.714366,0.499057,52.7194,53.9328
pb-new-kdd-10,1,10,1,3,256,256,10,3,6.42783,1.21812,0.900803,31.0076,33.1265
pb-new-kdd-10,5,10,1,10,256,64,10,3,5.86523,0.443407,0.307009,46.6707,47.4211
pb-new-kdd-10,5,10,1,5,256,1024,10,3,5.97203,4.0518,2.91233,120.476,127.44
pb-new-kdd-10,10,10,1,3,256,2048,10,3,6.0189,7.93595,5.87261,139.845,153.653
pb-new-kdd-10,10,10,1,5,256,256,10,3,5.93577,1.22384,0.893428,70.0462,72.1634
pb-new-kdd-25,10,25,1,3,256,1024,10,3,14.8566,4.89508,3.14588,1261.14,1269.18
pb-new-kdd-25,1,25,1,3,256,256,10,3,15.0142,1.43369,0.988477,538.927,541.35
pb-new-kdd-25,50,25,1,3,256,1024,10,3,14.8312,4.89554,3.17966,2172.76,2180.83
pb-new-kdd-25,1,25,1,10,256,256,10,3,16.4765,1.59186,1.00419,548.282,550.878
pb-new-kdd-25,5,25,1,5,256,512,10,3,15.2298,2.72843,1.68181,917.059,921.469
pb-new-kdd-25,50,25,1,5,256,2048,10,3,14.9377,9.43843,6.2214,2039.84,2055.5
pb-new-kdd-25,1,25,1,3,256,128,10,3,15.1563,0.883973,0.562509,585.554,587.001
pb-new-kdd-25,10,25,1,5,256,512,10,3,14.6194,2.68136,1.65536,1151.32,1155.65
pb-new-kdd-25,50,25,1,1,256,2048,10,3,14.7647,9.40565,6.1856,3117.98,3133.57
pb-new-kdd-25,10,25,1,5,256,256,10,3,14.6406,1.46369,0.975326,1239.91,1242.35
pb-new-kdd-25,10,25,1,1,256,1024,10,3,14.824,4.95896,3.14798,2013.43,2021.53
pb-new-kdd-25,10,25,1,1,256,256,10,3,14.8179,1.45412,0.965949,2676.04,2678.46
pb-new-kdd-25,10,25,1,3,256,256,10,3,14.8405,1.45139,0.967009,1409.81,1412.23
pb-new-kdd-25,5,25,1,5,256,128,10,3,14.8552,0.880388,0.558268,1032.22,1033.66
pb-new-kdd-25,50,25,1,10,256,1024,10,3,16.6633,5.38954,3.31743,2216.69,2225.4
pb-new-kdd-25,10,25,1,5,256,128,10,3,14.6338,0.906589,0.563428,1360.85,1362.32
pb-new-kdd-25,1,25,1,1,256,1024,10,3,15.2502,5.09987,3.23034,870.542,878.872
pb-new-kdd-25,10,25,1,10,256,128,10,3,14.7186,0.889885,0.563225,1314.18,1315.64
pb-new-kdd-25,5,25,1,10,256,128,10,3,14.8288,0.895551,0.557701,1012.64,1014.1
pb-new-kdd-25,10,25,1,10,256,2048,10,3,14.7703,9.39086,6.19323,1582.97,1598.56
pb-new-kdd-25,1,25,1,3,256,2048,10,3,14.9775,9.59891,6.22562,583.889,599.713
pb-new-kdd-25,5,25,1,1,256,512,10,3,14.704,2.67169,1.72856,1814.99,1819.39
pb-new-kdd-25,10,25,1,5,256,1024,10,3,14.7686,4.9103,3.16898,1159.71,1167.79
pb-new-kdd-25,1,25,1,1,256,64,10,3,15.0514,0.569732,0.365993,1318.21,1319.14
pb-new-kdd-25,50,25,1,3,256,256,10,3,14.8671,1.41388,0.974342,2384.9,2387.29
pb-new-kdd-25,50,25,1,1,256,256,10,3,14.7739,1.42561,0.974368,4902.34,4904.74
pb-new-kdd-25,10,25,1,10,256,512,10,3,14.7909,2.63059,1.74858,1224.71,1229.09
pb-new-kdd-25,5,25,1,3,256,64,10,3,16.5918,0.436199,0.353746,1281.55,1282.34
pb-new-kdd-25,5,25,1,10,256,1024,10,3,14.8233,4.96646,3.1389,1075.3,1083.4
pb-new-kdd-25,10,25,1,3,256,2048,10,3,14.8318,9.45216,6.14332,1254.3,1269.9
