model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
lastfm-lastfm-10-75-iters-reg-0.01,1,10,1,1,4096,1,10,3,4.22817,0.026609,0.056489,55.4998,55.5829
lastfm-lastfm-10-75-iters-reg-0.01,1,10,1,1,4096,16,10,3,4.34582,0.096921,0.082223,55.9413,56.1204
lastfm-lastfm-10-75-iters-reg-0.01,1,10,1,1,4096,2,10,3,4.22378,0.033672,0.060354,56.0756,56.1696
lastfm-lastfm-10-75-iters-reg-0.01,1,10,1,1,4096,4,10,3,4.0527,0.044762,0.065531,55.6654,55.7757
lastfm-lastfm-10-75-iters-reg-0.01,1,10,1,1,4096,64,10,3,4.07672,0.274401,0.150021,58.2184,58.6428
lastfm-lastfm-10-75-iters-reg-0.01,1,10,1,1,4096,8,10,3,4.23343,0.066733,0.070599,56.5506,56.688
lastfm-lastfm-10-75-iters-reg-0.01,10,10,1,1,4096,1,10,3,4.21806,0.026198,0.055731,56.2285,56.3104
lastfm-lastfm-10-75-iters-reg-0.01,10,10,1,1,4096,16,10,3,4.22609,0.098965,0.079106,62.5623,62.7404
lastfm-lastfm-10-75-iters-reg-0.01,10,10,1,1,4096,2,10,3,4.19782,0.033838,0.060167,60.7892,60.8832
lastfm-lastfm-10-75-iters-reg-0.01,10,10,1,1,4096,4,10,3,4.05009,0.046798,0.06511,62.1339,62.2459
lastfm-lastfm-10-75-iters-reg-0.01,10,10,1,1,4096,64,10,3,4.22663,0.275411,0.148448,65.3237,65.7475
lastfm-lastfm-10-75-iters-reg-0.01,10,10,1,1,4096,8,10,3,4.21978,0.063283,0.069508,63.1784,63.3112
lastfm-lastfm-10-75-iters-reg-0.01,5,10,1,1,4096,1,10,3,4.22322,0.026959,0.056338,53.6223,53.7056
lastfm-lastfm-10-75-iters-reg-0.01,5,10,1,1,4096,16,10,3,4.08369,0.100823,0.079323,60.7827,60.9629
lastfm-lastfm-10-75-iters-reg-0.01,5,10,1,1,4096,2,10,3,4.21841,0.03431,0.060425,56.9858,57.0805
lastfm-lastfm-10-75-iters-reg-0.01,5,10,1,1,4096,4,10,3,4.04978,0.047315,0.065657,59.2486,59.3615
lastfm-lastfm-10-75-iters-reg-0.01,5,10,1,1,4096,64,10,3,4.03681,0.273091,0.148186,61.8864,62.3077
lastfm-lastfm-10-75-iters-reg-0.01,5,10,1,1,4096,8,10,3,4.22694,0.066369,0.070312,59.8028,59.9395
lastfm-lastfm-10-75-iters-reg-0.01,50,10,1,1,4096,1,10,3,4.20957,0.026134,0.05647,68.2811,68.3637
lastfm-lastfm-10-75-iters-reg-0.01,50,10,1,1,4096,16,10,3,4.24686,0.099833,0.080442,76.3171,76.4974
lastfm-lastfm-10-75-iters-reg-0.01,50,10,1,1,4096,2,10,3,4.21918,0.034288,0.060709,70.2916,70.3866
lastfm-lastfm-10-75-iters-reg-0.01,50,10,1,1,4096,4,10,3,4.24871,0.046398,0.065559,75.3415,75.4535
lastfm-lastfm-10-75-iters-reg-0.01,50,10,1,1,4096,64,10,3,4.33483,0.294601,0.152524,79.7548,80.2019
lastfm-lastfm-10-75-iters-reg-0.01,50,10,1,1,4096,8,10,3,4.11673,0.066785,0.07089,75.2806,75.4183
lastfm-lastfm-100-75-iters-reg-0.01,1,100,1,1,4096,1,10,3,40.5597,0.151947,0.259715,2842.44,2842.85
lastfm-lastfm-100-75-iters-reg-0.01,1,100,1,1,4096,16,10,3,40.7985,0.785046,0.32256,2819.39,2820.49
lastfm-lastfm-100-75-iters-reg-0.01,1,100,1,1,4096,2,10,3,40.5276,0.19807,0.283171,2841.99,2842.47
lastfm-lastfm-100-75-iters-reg-0.01,1,100,1,1,4096,4,10,3,41.1457,0.30594,0.300505,2830.55,2831.16
lastfm-lastfm-100-75-iters-reg-0.01,1,100,1,1,4096,64,10,3,40.7602,2.78012,0.414884,2840.92,2844.12
lastfm-lastfm-100-75-iters-reg-0.01,1,100,1,1,4096,8,10,3,40.8031,0.453481,0.307065,2841.45,2842.21
lastfm-lastfm-100-75-iters-reg-0.01,10,100,1,1,4096,1,10,3,40.4262,0.150069,0.257318,3591.28,3591.68
lastfm-lastfm-100-75-iters-reg-0.01,10,100,1,1,4096,16,10,3,40.22,0.789552,0.322924,3640.78,3641.89
lastfm-lastfm-100-75-iters-reg-0.01,10,100,1,1,4096,2,10,3,40.2063,0.1991,0.281412,3613.51,3613.99
lastfm-lastfm-100-75-iters-reg-0.01,10,100,1,1,4096,4,10,3,40.338,0.287682,0.293343,3633.52,3634.1
lastfm-lastfm-100-75-iters-reg-0.01,10,100,1,1,4096,64,10,3,40.1972,2.75675,0.414677,3610.35,3613.52
lastfm-lastfm-100-75-iters-reg-0.01,10,100,1,1,4096,8,10,3,40.2334,0.455548,0.302263,3591.44,3592.2
lastfm-lastfm-100-75-iters-reg-0.01,5,100,1,1,4096,1,10,3,40.2528,0.151609,0.258951,3387.74,3388.15
lastfm-lastfm-100-75-iters-reg-0.01,5,100,1,1,4096,16,10,3,40.6704,0.799921,0.321534,3392.87,3394
lastfm-lastfm-100-75-iters-reg-0.01,5,100,1,1,4096,2,10,3,40.3372,0.197575,0.275882,3350.97,3351.44
lastfm-lastfm-100-75-iters-reg-0.01,5,100,1,1,4096,4,10,3,40.437,0.292226,0.293701,3388.5,3389.09
lastfm-lastfm-100-75-iters-reg-0.01,5,100,1,1,4096,64,10,3,40.5731,2.76573,0.411962,3356.73,3359.91
lastfm-lastfm-100-75-iters-reg-0.01,5,100,1,1,4096,8,10,3,40.3776,0.463663,0.305355,3388.76,3389.53
lastfm-lastfm-100-75-iters-reg-0.01,50,100,1,1,4096,1,10,3,40.2953,0.146587,0.260239,4359.59,4360
lastfm-lastfm-100-75-iters-reg-0.01,50,100,1,1,4096,16,10,3,40.9151,0.782244,0.32557,4324.29,4325.4
lastfm-lastfm-100-75-iters-reg-0.01,50,100,1,1,4096,2,10,3,40.2822,0.199622,0.284332,4332.22,4332.7
lastfm-lastfm-100-75-iters-reg-0.01,50,100,1,1,4096,4,10,3,40.4245,0.292991,0.297878,4360.62,4361.21
lastfm-lastfm-100-75-iters-reg-0.01,50,100,1,1,4096,64,10,3,40.6476,2.76244,0.422334,4349.87,4353.06
lastfm-lastfm-100-75-iters-reg-0.01,50,100,1,1,4096,8,10,3,40.3031,0.46001,0.30759,4366.56,4367.33
lastfm-lastfm-25-75-iters-reg-0.01,1,25,1,1,4096,1,10,3,11.1105,0.046434,0.092008,180.646,180.784
lastfm-lastfm-25-75-iters-reg-0.01,1,25,1,1,4096,16,10,3,10.5165,0.195116,0.125825,180.534,180.855
lastfm-lastfm-25-75-iters-reg-0.01,1,25,1,1,4096,2,10,3,10.1825,0.060318,0.101799,180.902,181.064
lastfm-lastfm-25-75-iters-reg-0.01,1,25,1,1,4096,4,10,3,10.1602,0.087932,0.113791,179.448,179.65
lastfm-lastfm-25-75-iters-reg-0.01,1,25,1,1,4096,64,10,3,10.409,0.588595,0.19844,181.969,182.756
lastfm-lastfm-25-75-iters-reg-0.01,1,25,1,1,4096,8,10,3,10.4086,0.121595,0.114641,174.411,174.647
lastfm-lastfm-25-75-iters-reg-0.01,10,25,1,1,4096,1,10,3,10.243,0.046648,0.090821,201.179,201.316
lastfm-lastfm-25-75-iters-reg-0.01,10,25,1,1,4096,16,10,3,10.068,0.197331,0.125862,210.807,211.131
lastfm-lastfm-25-75-iters-reg-0.01,10,25,1,1,4096,2,10,3,10.2717,0.058857,0.101781,214.349,214.51
lastfm-lastfm-25-75-iters-reg-0.01,10,25,1,1,4096,4,10,3,10.2331,0.08118,0.110038,211.226,211.418
lastfm-lastfm-25-75-iters-reg-0.01,10,25,1,1,4096,64,10,3,10.2524,0.604027,0.199599,213.146,213.95
lastfm-lastfm-25-75-iters-reg-0.01,10,25,1,1,4096,8,10,3,10.2806,0.122405,0.116442,214.83,215.069
lastfm-lastfm-25-75-iters-reg-0.01,5,25,1,1,4096,1,10,3,10.0945,0.046351,0.091384,200.093,200.231
lastfm-lastfm-25-75-iters-reg-0.01,5,25,1,1,4096,16,10,3,10.0834,0.196476,0.125614,200.578,200.9
lastfm-lastfm-25-75-iters-reg-0.01,5,25,1,1,4096,2,10,3,10.0612,0.059872,0.101297,200.286,200.447
lastfm-lastfm-25-75-iters-reg-0.01,5,25,1,1,4096,4,10,3,10.0986,0.08271,0.109755,200.872,201.064
lastfm-lastfm-25-75-iters-reg-0.01,5,25,1,1,4096,64,10,3,10.1172,0.598441,0.199009,202.839,203.636
lastfm-lastfm-25-75-iters-reg-0.01,5,25,1,1,4096,8,10,3,10.0846,0.118975,0.115465,200.767,201.001
lastfm-lastfm-25-75-iters-reg-0.01,50,25,1,1,4096,1,10,3,10.2409,0.047485,0.093283,255.968,256.109
lastfm-lastfm-25-75-iters-reg-0.01,50,25,1,1,4096,16,10,3,10.2818,0.198024,0.124539,241.124,241.447
lastfm-lastfm-25-75-iters-reg-0.01,50,25,1,1,4096,2,10,3,10.2624,0.060569,0.101064,252.14,252.302
lastfm-lastfm-25-75-iters-reg-0.01,50,25,1,1,4096,4,10,3,10.0753,0.081291,0.109245,251.669,251.859
lastfm-lastfm-25-75-iters-reg-0.01,50,25,1,1,4096,64,10,3,10.0748,0.600404,0.199149,254.851,255.651
lastfm-lastfm-25-75-iters-reg-0.01,50,25,1,1,4096,8,10,3,10.2504,0.118394,0.115679,252.357,252.591
lastfm-lastfm-50-75-iters-reg-0.01,1,50,1,1,4096,1,10,3,20.7011,0.081014,0.143023,651.326,651.55
lastfm-lastfm-50-75-iters-reg-0.01,1,50,1,1,4096,16,10,3,20.3911,0.375471,0.191061,670.582,671.149
lastfm-lastfm-50-75-iters-reg-0.01,1,50,1,1,4096,2,10,3,20.3947,0.103423,0.159778,648.78,649.043
lastfm-lastfm-50-75-iters-reg-0.01,1,50,1,1,4096,4,10,3,20.3671,0.143659,0.169702,676.779,677.092
