model,num_latent_factors,num_threads,K,block_size,gemm_time,pr_queue_time,comp_time
dsgdpp-Netflix-10-reg-0.05,10,1,1,12800,11.047,9.15308,20.2
dsgdpp-Netflix-10-reg-0.05,10,1,10,12800,11.0745,11.9254,22.9999
dsgdpp-Netflix-10-reg-0.05,10,1,5,12800,10.9499,10.5133,21.4633
dsgdpp-Netflix-10-reg-0.05,10,1,50,12800,11.0663,20.3748,31.4411
dsgdpp-Netflix-10-reg-0.5,10,1,1,12800,10.6641,8.79882,19.4629
dsgdpp-Netflix-10-reg-0.5,10,1,10,12800,10.6343,11.4893,22.1236
dsgdpp-Netflix-10-reg-0.5,10,1,5,12800,10.6339,10.592,21.2259
dsgdpp-Netflix-10-reg-0.5,10,1,50,12800,13.0867,21.5983,34.685
dsgdpp-Netflix-10-reg-1.0,10,1,1,12800,10.9547,8.96982,19.9245
dsgdpp-Netflix-10-reg-1.0,10,1,10,12800,13.8362,13.4878,27.324
dsgdpp-Netflix-10-reg-1.0,10,1,5,12800,10.7061,10.5603,21.2664
dsgdpp-Netflix-10-reg-1.0,10,1,50,12800,10.8695,20.3085,31.1779
dsgdpp-Netflix-10-reg-10.0,10,1,1,12800,10.5896,8.88229,19.4719
dsgdpp-Netflix-10-reg-10.0,10,1,10,12800,10.8956,11.522,22.4176
dsgdpp-Netflix-10-reg-10.0,10,1,5,12800,10.6412,10.5864,21.2276
dsgdpp-Netflix-10-reg-10.0,10,1,50,12800,10.9551,20.4289,31.3839
dsgdpp-Netflix-10-reg-5.0,10,1,1,12800,10.8627,9.02698,19.8896
dsgdpp-Netflix-10-reg-5.0,10,1,10,12800,10.7258,11.461,22.1868
dsgdpp-Netflix-10-reg-5.0,10,1,5,12800,10.6385,10.6221,21.2606
dsgdpp-Netflix-10-reg-5.0,10,1,50,12800,10.6485,20.0023,30.6508
dsgdpp-Netflix-100-reg-0.05,100,1,1,1280,43.9744,8.7922,52.7666
dsgdpp-Netflix-100-reg-0.05,100,1,10,1280,43.8911,11.3916,55.2827
dsgdpp-Netflix-100-reg-0.05,100,1,5,1280,43.794,10.3674,54.1614
dsgdpp-Netflix-100-reg-0.05,100,1,50,1280,44.254,20.1304,64.3845
dsgdpp-Netflix-100-reg-0.5,100,1,1,1280,43.8333,8.88094,52.7143
