model,K,num_latent_factors,avg_full_dot_products,preproc_time,comp_time
lemp-paper-Netflix-50,1,50,33.3673,0.144944,750.994
lemp-paper-Netflix-50,1,50,33.3673,0.144944,750.994
lemp-paper-Netflix-50,10,50,120.888,0.150635,854.998
lemp-paper-Netflix-50,10,50,120.888,0.150635,854.998
lemp-paper-Netflix-50,5,50,77.8839,0.145781,813.924
lemp-paper-Netflix-50,5,50,77.8839,0.145781,813.924
lemp-paper-Netflix-50,50,50,370.51,0.143927,1022.25
lemp-paper-Netflix-50,50,50,370.51,0.143927,1022.25
lemp-paper-Netflix-noav-10,1,10,66.8056,0.0439034,169.622
lemp-paper-Netflix-noav-10,1,10,66.8056,0.0439034,169.622
lemp-paper-Netflix-noav-10,10,10,147.498,0.0446609,199.264
lemp-paper-Netflix-noav-10,10,10,147.498,0.0446609,199.264
lemp-paper-Netflix-noav-10,5,10,106.038,0.0438228,186.058
lemp-paper-Netflix-noav-10,5,10,106.038,0.0438228,186.058
lemp-paper-Netflix-noav-10,50,10,373.923,0.0437713,262.472
lemp-paper-Netflix-noav-10,50,10,373.923,0.0437713,262.472
lemp-paper-Netflix-noav-100,1,100,423.504,0.314641,3234.71
lemp-paper-Netflix-noav-100,1,100,423.504,0.314641,3234.71
lemp-paper-Netflix-noav-100,10,100,964.154,0.316183,3656.68
lemp-paper-Netflix-noav-100,10,100,964.154,0.316183,3656.68
lemp-paper-Netflix-noav-100,5,100,738.233,0.306508,3423.65
lemp-paper-Netflix-noav-100,5,100,738.233,0.306508,3423.65
lemp-paper-Netflix-noav-100,50,100,1880.44,0.311941,4004.67
lemp-paper-Netflix-noav-100,50,100,1880.44,0.311941,4004.67
lemp-paper-Netflix-noav-50,1,50,236.481,0.14554,1125.1
lemp-paper-Netflix-noav-50,1,50,236.481,0.14554,1125.1
lemp-paper-Netflix-noav-50,10,50,531.174,0.147009,1373.05
lemp-paper-Netflix-noav-50,10,50,531.174,0.147009,1373.05
lemp-paper-Netflix-noav-50,5,50,398.812,0.148254,1274.53
lemp-paper-Netflix-noav-50,5,50,398.812,0.148254,1274.53
lemp-paper-Netflix-noav-50,50,50,1094.87,0.148445,1661.18
lemp-paper-Netflix-noav-50,50,50,1094.87,0.148445,1661.18
nomad-Netflix-10-reg-0.0005,1,10,139.459,0.0438563,274.835
nomad-Netflix-10-reg-0.0005,1,10,139.459,0.0438563,274.835
nomad-Netflix-10-reg-0.0005,10,10,321.081,0.0419744,354.526
nomad-Netflix-10-reg-0.0005,10,10,321.081,0.0419744,354.526
nomad-Netflix-10-reg-0.0005,5,10,240.946,0.0411721,325.228
nomad-Netflix-10-reg-0.0005,5,10,240.946,0.0411721,325.228
