model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
lemp-paper-Netflix-50,1,50,1,1,1024,1,10,3,13.6566,0.105244,0.0978191,27.8365,28.0395
lemp-paper-Netflix-50,1,50,1,1,1024,1024,10,3,13.8758,18.8798,0.261837,27.4189,46.5605
lemp-paper-Netflix-50,1,50,1,1,1024,128,10,3,13.7798,2.47181,0.149261,27.8913,30.5124
lemp-paper-Netflix-50,1,50,1,1,1024,2048,10,3,13.7837,37.4884,0.382674,27.9774,65.8485
lemp-paper-Netflix-50,1,50,1,1,1024,256,10,3,13.7573,4.80823,0.162616,27.3185,32.2894
lemp-paper-Netflix-50,1,50,1,1,1024,4096,10,3,13.7528,74.9605,0.616731,29.1433,104.721
lemp-paper-Netflix-50,1,50,1,1,1024,512,10,3,13.6545,9.4163,0.201054,27.3195,36.9368
lemp-paper-Netflix-50,1,50,1,1,1024,64,10,3,13.7074,1.2958,0.126804,27.7053,29.1279
lemp-paper-Netflix-50,1,50,1,1,1024,8,10,3,13.7507,0.247166,0.121345,28.0239,28.3924
lemp-paper-Netflix-50,1,50,1,1,2048,1,10,3,13.7639,0.105785,0.0970294,25.6342,25.837
lemp-paper-Netflix-50,1,50,1,1,2048,1024,10,3,13.7263,18.861,0.262523,25.0723,44.1958
lemp-paper-Netflix-50,1,50,1,1,2048,128,10,3,13.6841,2.43856,0.142946,25.9875,28.569
lemp-paper-Netflix-50,1,50,1,1,2048,2048,10,3,13.6759,37.4898,0.380641,25.4653,63.3357
lemp-paper-Netflix-50,1,50,1,1,2048,256,10,3,13.666,4.75596,0.16128,25.8966,30.8139
lemp-paper-Netflix-50,1,50,1,1,2048,4096,10,3,14.1178,75.3904,0.617897,26.6471,102.655
lemp-paper-Netflix-50,1,50,1,1,2048,512,10,3,13.7572,9.48544,0.200499,25.0363,34.7222
lemp-paper-Netflix-50,1,50,1,1,2048,64,10,3,14.2923,1.276,0.134268,26.1497,27.56
lemp-paper-Netflix-50,1,50,1,1,2048,8,10,3,13.7773,0.244208,0.123937,26.0038,26.372
lemp-paper-Netflix-50,1,50,1,1,256,1,10,3,13.6327,0.105854,0.097675,28.3794,28.583
lemp-paper-Netflix-50,1,50,1,1,256,1024,10,3,14.9621,18.8504,0.26423,28.7071,47.8217
lemp-paper-Netflix-50,1,50,1,1,256,128,10,3,13.7712,2.43783,0.144511,28.1053,30.6877
lemp-paper-Netflix-50,1,50,1,1,256,2048,10,3,14.0078,37.4568,0.381303,28.9921,66.8302
lemp-paper-Netflix-50,1,50,1,1,256,256,10,3,13.8385,4.74284,0.162765,28.0888,32.9944
lemp-paper-Netflix-50,1,50,1,1,256,4096,10,3,13.9822,74.8365,0.588502,30.3319,105.757
lemp-paper-Netflix-50,1,50,1,1,256,512,10,3,13.6533,9.48513,0.1991,28.2892,37.9734
lemp-paper-Netflix-50,1,50,1,1,256,64,10,3,13.7043,1.27736,0.134225,28.1035,29.5151
lemp-paper-Netflix-50,1,50,1,1,256,8,10,3,13.6861,0.243096,0.121194,28.2796,28.6439
lemp-paper-Netflix-50,1,50,1,1,4096,1,10,3,13.7255,0.10594,0.0977526,21.7701,21.9738
lemp-paper-Netflix-50,1,50,1,1,4096,1024,10,3,13.6587,18.8489,0.262539,21.4201,40.5315
lemp-paper-Netflix-50,1,50,1,1,4096,128,10,3,13.7846,2.43761,0.144031,22.4977,25.0793
lemp-paper-Netflix-50,1,50,1,1,4096,2048,10,3,13.6606,37.4856,0.382751,21.1404,59.0087
lemp-paper-Netflix-50,1,50,1,1,4096,256,10,3,13.6187,4.75959,0.162382,22.6212,27.5431
