model,num_latent_factors,num_threads,K,block_size,gemm_time,pr_queue_time,comp_time
nomad-R2-10-reg-0.001,10,1,1,25000,309.404,278.245,587.649
nomad-R2-10-reg-0.001,10,1,5,25000,308.014,309.462,617.476
nomad-R2-10-reg-0.001,10,1,10,25000,303.143,310.142,613.285
nomad-R2-10-reg-0.001,10,1,50,25000,310.583,370.319,680.902
nomad-R2-10-reg-0.01,10,1,1,25000,305.981,276.034,582.015
nomad-R2-10-reg-0.01,10,1,5,25000,309.982,311.394,621.377
nomad-R2-10-reg-0.01,10,1,10,25000,306.703,314.741,621.444
nomad-R2-10-reg-0.01,10,1,50,25000,308.972,368.165,677.136
nomad-R2-10-reg-0.1,10,1,1,25000,303.994,274.249,578.243
nomad-R2-10-reg-0.1,10,1,5,25000,303.805,304.907,608.712
nomad-R2-10-reg-0.1,10,1,10,25000,309.9,316.556,626.457
nomad-R2-10-reg-0.1,10,1,50,25000,312.87,370.621,683.491
nomad-R2-10-reg-1,10,1,1,25000,303.979,274.31,578.289
nomad-R2-10-reg-1,10,1,5,25000,303.855,304.869,608.725
nomad-R2-10-reg-1,10,1,10,25000,302.485,308.071,610.556
nomad-R2-10-reg-1,10,1,50,25000,309.978,361.873,671.85
nomad-R2-100-reg-0.001,100,1,1,25000,1304.96,282.306,1587.27
nomad-R2-100-reg-0.001,100,1,5,25000,1295.9,316.061,1611.96
nomad-R2-100-reg-0.001,100,1,10,25000,1304.34,319.634,1623.97
nomad-R2-100-reg-0.001,100,1,50,25000,1287.32,372.004,1659.32
nomad-R2-100-reg-0.01,100,1,1,25000,1298.37,281.773,1580.15
nomad-R2-100-reg-0.01,100,1,5,25000,1306,316.175,1622.18
nomad-R2-100-reg-0.01,100,1,10,25000,1282.71,317.51,1600.22
nomad-R2-100-reg-0.01,100,1,50,25000,1284.93,372.798,1657.73
nomad-R2-100-reg-0.1,100,1,1,25000,1295.66,281.92,1577.58
nomad-R2-100-reg-0.1,100,1,5,25000,1295.1,314.334,1609.44
nomad-R2-100-reg-0.1,100,1,10,25000,1294.77,320.334,1615.1
nomad-R2-100-reg-0.1,100,1,50,25000,1287.21,371.533,1658.74
nomad-R2-100-reg-1,100,1,1,25000,1291.61,277.895,1569.5
nomad-R2-100-reg-1,100,1,5,25000,1298.35,315.697,1614.04
nomad-R2-100-reg-1,100,1,10,25000,1278.02,314.916,1592.94
nomad-R2-100-reg-1,100,1,50,25000,1301.2,368.507,1669.71
nomad-R2-25-reg-0.001,25,1,1,25000,405.649,278.753,684.401
nomad-R2-25-reg-0.001,25,1,5,25000,403.925,310.823,714.748
nomad-R2-25-reg-0.001,25,1,10,25000,407.569,318.632,726.2
nomad-R2-25-reg-0.001,25,1,50,25000,405.434,371.545,776.979
nomad-R2-25-reg-0.01,25,1,1,25000,405.511,278.981,684.492
nomad-R2-25-reg-0.01,25,1,5,25000,406.131,311.849,717.98
nomad-R2-25-reg-0.01,25,1,10,25000,404.62,317.995,722.615
nomad-R2-25-reg-0.01,25,1,50,25000,406.014,370.775,776.79
nomad-R2-25-reg-0.1,25,1,1,25000,400.35,275.031,675.381
nomad-R2-25-reg-0.1,25,1,5,25000,405.294,311.136,716.429
nomad-R2-25-reg-0.1,25,1,10,25000,404.344,315.638,719.981
nomad-R2-25-reg-0.1,25,1,50,25000,404.183,367.133,771.316
nomad-R2-25-reg-1,25,1,1,25000,405.834,278.92,684.754
nomad-R2-25-reg-1,25,1,5,25000,405.919,310.659,716.578
nomad-R2-25-reg-1,25,1,10,25000,403.744,313.096,716.84
nomad-R2-25-reg-1,25,1,50,25000,404.66,365.51,770.169
nomad-R2-50-reg-0.001,50,1,1,25000,836.419,279.287,1115.71
nomad-R2-50-reg-0.001,50,1,5,25000,836.415,311.992,1148.41
nomad-R2-50-reg-0.001,50,1,10,25000,833.115,317.78,1150.89
nomad-R2-50-reg-0.001,50,1,50,25000,838.815,370.504,1209.32
nomad-R2-50-reg-0.01,50,1,1,25000,838.323,279.762,1118.09
nomad-R2-50-reg-0.01,50,1,5,25000,838.057,310.335,1148.39
nomad-R2-50-reg-0.01,50,1,10,25000,837.278,318.498,1155.78
nomad-R2-50-reg-0.01,50,1,50,25000,836.37,370.415,1206.79
nomad-R2-50-reg-0.1,50,1,1,25000,850.184,280.305,1130.49
nomad-R2-50-reg-0.1,50,1,5,25000,840.343,312.571,1152.91
nomad-R2-50-reg-0.1,50,1,10,25000,838.468,315.365,1153.83
nomad-R2-50-reg-0.1,50,1,50,25000,845.362,368.034,1213.4
nomad-R2-50-reg-1,50,1,1,25000,839.447,279.05,1118.5
nomad-R2-50-reg-1,50,1,5,25000,842.302,312.937,1155.24
nomad-R2-50-reg-1,50,1,10,25000,840.446,315.57,1156.02
nomad-R2-50-reg-1,50,1,50,25000,841.396,367.447,1208.84
