model,K,num_latent_factors,avg_full_dot_products,preproc_time,comp_time
nomad-R2-10-reg-0.0001,1,10,82.9954,0.177884,3430.92
nomad-R2-10-reg-0.0001,10,10,283.666,0.157867,3724.67
nomad-R2-10-reg-0.0001,5,10,188.37,0.146846,3601.29
nomad-R2-10-reg-0.0001,50,10,806.657,0.156291,4227.45
nomad-R2-10-reg-0.001,1,10,68.2645,0.142593,3420.13
nomad-R2-10-reg-0.001,10,10,243.697,0.147766,3732.24
nomad-R2-10-reg-0.001,5,10,157.19,0.148095,3579.44
nomad-R2-10-reg-0.001,50,10,727.702,0.158867,4268.3
nomad-R2-10-reg-0.01,1,10,18.5794,0.146391,3539.8
nomad-R2-10-reg-0.01,10,10,81.6683,0.158103,3688.86
nomad-R2-10-reg-0.01,5,10,48.2433,0.146223,3617.69
nomad-R2-10-reg-0.01,50,10,311.951,0.201628,3988.58
nomad-R2-10-reg-0.1,1,10,3.8212,0.138207,3146.99
nomad-R2-10-reg-0.1,10,10,3.66861,0.150839,3206.45
nomad-R2-10-reg-0.1,5,10,1.82394,0.138337,3102.65
nomad-R2-10-reg-0.1,50,10,26.9999,0.16327,3078.09
nomad-R2-10-reg-1,1,10,0,0.166439,3264.9
nomad-R2-10-reg-1,10,10,1.64548e-06,0.157647,3145.89
nomad-R2-10-reg-1,5,10,0,0.137053,3229.27
nomad-R2-10-reg-1,50,10,0.674073,0.174816,3147.35
nomad-R2-100-reg-0.0001,1,100,65.0188,3.65338,101506
nomad-R2-100-reg-0.001,50,100,21.1626,3.66647,112265
nomad-R2-100-reg-0.01,1,100,7.60822,3.69228,110870
nomad-R2-100-reg-0.01,10,100,7.60822,3.69228,110870
nomad-R2-100-reg-0.01,5,100,26.1732,3.67279,109302
nomad-R2-100-reg-0.01,50,100,26.1732,3.67279,109302
nomad-R2-100-reg-0.1,10,100,1.83227,3.63247,111260
nomad-R2-100-reg-0.1,5,100,0.301354,3.6735,111435
nomad-R2-100-reg-1,1,100,0.34584,3.65168,95109.4
nomad-R2-100-reg-1,10,100,6.93667,3.63787,94844.8
nomad-R2-100-reg-1,5,100,2.53923,3.61246,95852.4
nomad-R2-25-reg-0.0001,1,25,308.879,0.404066,17676.3
nomad-R2-25-reg-0.0001,10,25,702.526,0.634754,17714.9
nomad-R2-25-reg-0.0001,5,25,535.974,0.418003,17876.9
nomad-R2-25-reg-0.0001,50,25,1416.39,0.410143,19108.9
nomad-R2-25-reg-0.001,1,25,229.611,0.415768,17704.3
nomad-R2-25-reg-0.001,10,25,573.441,0.406304,18530.2
nomad-R2-25-reg-0.001,5,25,426.701,0.408332,17898.9
nomad-R2-25-reg-0.001,50,25,1247.79,0.418097,19710.2
nomad-R2-25-reg-0.01,1,25,44.092,0.424623,17046.4
nomad-R2-25-reg-0.01,10,25,142.023,0.393124,17431.6
nomad-R2-25-reg-0.01,5,25,94.8731,0.395202,17436.3
nomad-R2-25-reg-0.01,50,25,491.107,0.455511,18313.2
nomad-R2-25-reg-0.1,1,25,4.30285,0.406564,15627.1
nomad-R2-25-reg-0.1,10,25,4.946,0.420122,15255.2
nomad-R2-25-reg-0.1,5,25,2.91645,0.412737,14902.9
nomad-R2-25-reg-0.1,50,25,25.1198,0.397815,14840.7
nomad-R2-25-reg-1,1,25,0,0.474869,17644.8
nomad-R2-25-reg-1,10,25,0,0.457553,17524.2
nomad-R2-25-reg-1,5,25,0,0.438118,17528.5
nomad-R2-25-reg-1,50,25,0.111411,0.424946,15550.7
nomad-R2-50-reg-0.0001,1,50,191.581,1.06048,52294.6
nomad-R2-50-reg-0.0001,10,50,484.184,1.07086,52564.7
nomad-R2-50-reg-0.0001,5,50,358.884,1.0472,52738.6
nomad-R2-50-reg-0.0001,50,50,1050.01,1.0489,53695.2
nomad-R2-50-reg-0.001,1,50,159.024,1.07413,51849.5
nomad-R2-50-reg-0.001,10,50,419.675,1.05047,53013
nomad-R2-50-reg-0.001,5,50,304.602,1.06158,51169.1
nomad-R2-50-reg-0.001,50,50,968.01,1.0143,55217.5
nomad-R2-50-reg-0.01,1,50,18.4735,1.15937,50204.6
nomad-R2-50-reg-0.01,10,50,74.0015,1.03703,50320.5
nomad-R2-50-reg-0.01,5,50,46.1298,1.01871,50915.6
nomad-R2-50-reg-0.01,50,50,290.914,1.06529,50125.4
nomad-R2-50-reg-0.1,1,50,2.1086,1.04251,44680.1
nomad-R2-50-reg-0.1,10,50,8.17772,1.05818,59446.9
nomad-R2-50-reg-0.1,5,50,2.02366,1.07383,60293.8
nomad-R2-50-reg-0.1,50,50,19.4961,1.01527,43972.3
nomad-R2-50-reg-1,1,50,0.00936606,1.07029,44715.5
nomad-R2-50-reg-1,10,50,0,1.00989,43499.9
nomad-R2-50-reg-1,5,50,0.00166138,1.06595,43767.6
nomad-R2-50-reg-1,50,50,0.000942859,1.03343,43221.9
