model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
nomad-R2-10-reg-0.0001,1,10,1,1,4096,1024,10,3,6.56434,21.3843,0.838146,79.3181,101.541
nomad-R2-10-reg-0.0001,1,10,1,1,4096,2048,10,3,6.56336,42.4896,1.51367,80.6858,124.689
nomad-R2-10-reg-0.0001,1,10,1,1,4096,8,10,3,6.62296,0.353355,0.14408,71.413,71.9105
nomad-R2-10-reg-0.0001,10,10,1,1,4096,1024,10,3,6.57376,21.3661,0.826508,116.149,138.342
nomad-R2-10-reg-0.0001,10,10,1,1,4096,2048,10,3,6.57497,42.5435,1.4038,119.38,163.328
nomad-R2-10-reg-0.0001,10,10,1,1,4096,8,10,3,6.57407,0.343076,0.144368,106.67,107.157
nomad-R2-10-reg-0.0001,5,10,1,1,4096,1024,10,3,6.56305,21.339,0.763745,99.9123,122.015
nomad-R2-10-reg-0.0001,5,10,1,1,4096,2048,10,3,6.5774,42.5488,1.52044,102.253,146.322
nomad-R2-10-reg-0.0001,5,10,1,1,4096,8,10,3,6.57226,0.357717,0.146612,91.384,91.8884
nomad-R2-10-reg-0.0001,50,10,1,1,4096,1024,10,3,6.58427,21.4023,0.829568,190.356,212.588
nomad-R2-10-reg-0.0001,50,10,1,1,4096,2048,10,3,6.56862,42.4933,1.48701,194.544,238.524
nomad-R2-10-reg-0.0001,50,10,1,1,4096,8,10,3,6.57868,0.349392,0.153793,172.324,172.827
nomad-R2-10-reg-0.001,1,10,1,1,4096,8,10,3,6.57731,0.342648,0.144026,83.6131,84.0998
nomad-R2-10-reg-0.001,1,10,1,1,4096,8,10,3,6.58964,0.346221,0.154717,71.9635,72.4644
nomad-R2-10-reg-0.001,10,10,1,1,4096,8,10,3,6.57118,0.351808,0.140915,107.318,107.811
nomad-R2-10-reg-0.001,10,10,1,1,4096,8,10,3,6.57315,0.349251,0.149723,106.592,107.091
nomad-R2-10-reg-0.001,5,10,1,1,4096,8,10,3,6.57558,0.340053,0.143136,97.2216,97.7048
nomad-R2-10-reg-0.001,5,10,1,1,4096,8,10,3,6.57977,0.350401,0.147687,90.1463,90.6444
nomad-R2-10-reg-0.001,50,10,1,1,4096,8,10,3,6.57049,0.352685,0.145089,180.174,180.672
nomad-R2-10-reg-0.001,50,10,1,1,4096,8,10,3,6.57558,0.350198,0.148744,176.612,177.111
nomad-R2-10-reg-0.01,1,10,1,1,4096,1024,10,3,6.54565,21.399,0.828437,61.0626,83.29
nomad-R2-10-reg-0.01,1,10,1,1,4096,2048,10,3,6.55641,42.7927,1.51181,62.8684,107.173
nomad-R2-10-reg-0.01,1,10,1,1,4096,8,10,3,6.55094,0.350459,0.144621,52.0374,52.5325
nomad-R2-10-reg-0.01,10,10,1,1,4096,1024,10,3,6.55573,21.3937,0.836246,82.9776,105.208
nomad-R2-10-reg-0.01,10,10,1,1,4096,2048,10,3,6.58541,42.4457,1.39753,85.6356,129.479
nomad-R2-10-reg-0.01,10,10,1,1,4096,8,10,3,6.54504,0.342364,0.139749,71.4855,71.9676
nomad-R2-10-reg-0.01,5,10,1,1,4096,1024,10,3,6.54662,21.3855,0.828236,73.115,95.3287
nomad-R2-10-reg-0.01,5,10,1,1,4096,2048,10,3,6.55597,42.4836,1.517,75.3386,119.339
nomad-R2-10-reg-0.01,5,10,1,1,4096,8,10,3,6.54766,0.343444,0.141966,63.1353,63.6207
nomad-R2-10-reg-0.01,50,10,1,1,4096,1024,10,3,6.54899,21.3466,0.828915,133.351,155.526
nomad-R2-10-reg-0.01,50,10,1,1,4096,2048,10,3,6.54744,42.5169,1.39744,137.298,181.212
nomad-R2-10-reg-0.01,50,10,1,1,4096,8,10,3,6.55306,0.349372,0.148405,113.764,114.262
nomad-R2-10-reg-0.1,1,10,1,1,4096,1024,10,3,6.49602,21.3926,0.825119,26.6225,48.8403
nomad-R2-10-reg-0.1,1,10,1,1,4096,2048,10,3,6.49724,42.4954,1.49482,24.0755,68.0658
nomad-R2-10-reg-0.1,1,10,1,1,4096,8,10,3,6.49478,0.348917,0.133782,28.9104,29.3931
nomad-R2-10-reg-0.1,10,10,1,1,4096,1024,10,3,6.49961,21.3532,0.797257,27.6949,49.8454
nomad-R2-10-reg-0.1,10,10,1,1,4096,2048,10,3,6.53224,42.4825,1.50692,25.1571,69.1465
nomad-R2-10-reg-0.1,10,10,1,1,4096,8,10,3,6.49825,0.348409,0.145917,26.2596,26.7539
nomad-R2-10-reg-0.1,5,10,1,1,4096,1024,10,3,6.48271,21.3407,0.799394,27.1589,49.299
nomad-R2-10-reg-0.1,5,10,1,1,4096,2048,10,3,6.49431,42.4191,1.50646,24.6034,68.5289
nomad-R2-10-reg-0.1,5,10,1,1,4096,8,10,3,6.49478,0.343981,0.134103,25.696,26.174
nomad-R2-10-reg-0.1,50,10,1,1,4096,1024,10,3,6.48821,21.3714,0.834,35.5199,57.7253
nomad-R2-10-reg-0.1,50,10,1,1,4096,2048,10,3,6.496,42.4402,1.50561,32.6525,76.5983
nomad-R2-10-reg-0.1,50,10,1,1,4096,8,10,3,6.86467,0.347269,0.132727,33.683,34.163
nomad-R2-10-reg-1,1,10,1,1,4096,2048,10,3,6.47815,42.4512,1.49838,23.8483,67.7978
nomad-R2-10-reg-1,1,10,1,1,4096,8,10,3,6.50123,0.339408,0.129539,36.4903,36.9592
nomad-R2-10-reg-1,10,10,1,1,4096,1024,10,3,6.48694,21.3614,0.765418,27.7707,49.8975
nomad-R2-10-reg-1,10,10,1,1,4096,2048,10,3,6.50671,42.464,1.53194,25.2007,69.1967
nomad-R2-10-reg-1,10,10,1,1,4096,8,10,3,6.49775,0.343874,0.133418,26.6544,27.1317
nomad-R2-10-reg-1,5,10,1,1,4096,1024,10,3,6.48716,21.374,0.823167,27.1242,49.3213
nomad-R2-10-reg-1,5,10,1,1,4096,2048,10,3,7.84751,42.4644,1.52661,24.5923,68.5833
nomad-R2-10-reg-1,5,10,1,1,4096,8,10,3,6.47915,0.341724,0.131271,25.8423,26.3152
nomad-R2-10-reg-1,50,10,1,1,4096,1024,10,3,6.49597,21.38,0.831063,32.0098,54.2209
nomad-R2-10-reg-1,50,10,1,1,4096,2048,10,3,6.50687,42.4455,1.48812,29.0022,72.9359
nomad-R2-10-reg-1,50,10,1,1,4096,8,10,3,6.49998,0.345074,0.136159,33.1934,33.6747
nomad-R2-100-reg-0.0001,1,100,1,1,4096,8,10,3,71.0578,2.12996,1.05101,86.7308,89.9117
nomad-R2-100-reg-0.0001,10,100,1,1,4096,8,10,3,68.1657,2.17408,1.03763,139.682,142.894
nomad-R2-100-reg-0.0001,5,100,1,1,4096,8,10,3,68.0733,2.19426,1.15243,104.782,108.129
nomad-R2-100-reg-0.0001,50,100,1,1,4096,8,10,3,68.1648,2.14486,0.80116,329.185,332.131
nomad-R2-100-reg-0.001,1,100,1,1,4096,8,10,3,68.1533,2.12401,0.797903,56.1276,59.0496
nomad-R2-100-reg-0.001,1,100,1,1,4096,8,10,3,68.233,2.12665,0.809577,55.8513,58.7875
nomad-R2-100-reg-0.001,10,100,1,1,4096,8,10,3,68.3922,2.12695,0.797383,57.3374,60.2617
nomad-R2-100-reg-0.001,10,100,1,1,4096,8,10,3,68.5858,2.12355,0.798146,56.5657,59.4874
nomad-R2-100-reg-0.001,5,100,1,1,4096,8,10,3,68.2571,2.1802,1.24728,65.4439,68.8714
nomad-R2-100-reg-0.001,5,100,1,1,4096,8,10,3,68.6408,2.20856,1.42495,69.0471,72.6806
nomad-R2-100-reg-0.001,50,100,1,1,4096,8,10,3,68.2538,2.12627,0.802215,63.5438,66.4723
nomad-R2-100-reg-0.001,50,100,1,1,4096,8,10,3,68.503,2.1988,1.42345,77.1571,80.7794
nomad-R2-100-reg-0.01,1,100,1,1,4096,1024,10,3,68.3608,191.625,2.44596,68.0231,262.094
