model,K,num_latent_factors,num_threads,num_bins,batch_size,num_clusters,sample_percentage,num_iters,parse_time,cluster_time,index_time,algo_time,comp_time
lemp-paper-KDD-50,1,51,1,1,4096,8,10,3,39.6594,0.641863,0.211387,4.70029,5.55354
lemp-paper-KDD-50,10,51,1,1,4096,8,10,3,39.6621,0.637775,0.212173,9.86159,10.7115
lemp-paper-KDD-50,5,51,1,1,4096,8,10,3,39.743,0.637301,0.213,8.1644,9.0147
lemp-paper-KDD-50,50,51,1,1,4096,8,10,3,39.7406,0.633134,0.210645,14.5911,15.4349
lemp-paper-Netflix-50,1,50,1,1,4096,8,10,3,14.0058,0.299391,0.015237,0.0558201,0.370448
lemp-paper-Netflix-50,10,50,1,1,4096,8,10,3,14.0431,0.297718,0.0163514,0.100188,0.414258
lemp-paper-Netflix-50,5,50,1,1,4096,8,10,3,14.9046,0.299349,0.0155551,0.0854629,0.400367
lemp-paper-Netflix-50,50,50,1,1,4096,8,10,3,13.9224,0.296315,0.0153549,0.143332,0.455003
lemp-paper-Netflix-noav-10,1,10,1,1,4096,8,10,3,2.70511,0.0942042,0.11594,0.0300174,0.240162
lemp-paper-Netflix-noav-10,10,10,1,1,4096,8,10,3,2.66075,0.0940052,0.0107264,0.0393085,0.14404
lemp-paper-Netflix-noav-10,5,10,1,1,4096,8,10,3,2.6751,0.0939515,0.0110386,0.0344239,0.139414
lemp-paper-Netflix-noav-10,50,10,1,1,4096,8,10,3,2.66073,0.0933724,0.0107252,0.0607714,0.164869
lemp-paper-Netflix-noav-100,1,100,1,1,4096,8,10,3,26.9976,0.562196,0.0239774,0.234876,0.821049
lemp-paper-Netflix-noav-100,10,100,1,1,4096,8,10,3,27.0228,0.562494,0.0206095,0.276889,0.859993
lemp-paper-Netflix-noav-100,5,100,1,1,4096,8,10,3,27.06,0.56417,0.0228728,0.258219,0.845262
lemp-paper-Netflix-noav-100,50,100,1,1,4096,8,10,3,27.8087,0.58886,0.0181333,0.186027,0.793021
lemp-paper-Netflix-noav-50,1,50,1,1,4096,8,10,3,13.4951,0.297064,0.0168991,0.110002,0.423964
lemp-paper-Netflix-noav-50,10,50,1,1,4096,8,10,3,13.5086,0.299702,0.0153736,0.136243,0.451319
lemp-paper-Netflix-noav-50,5,50,1,1,4096,8,10,3,13.4444,0.298464,0.0149962,0.128214,0.441674
lemp-paper-Netflix-noav-50,50,50,1,1,4096,8,10,3,13.3858,0.297889,0.0164016,0.163495,0.477785
nomad-KDD-10-reg-1,1,10,1,1,4096,8,10,3,5.65333,0.193101,0.0997635,1.03587,1.32873
nomad-KDD-10-reg-1,10,10,1,1,4096,8,10,3,5.66595,0.192683,0.0951577,1.42233,1.71017
nomad-KDD-10-reg-1,5,10,1,1,4096,8,10,3,5.64564,0.190743,0.0994308,1.34707,1.63725
nomad-KDD-10-reg-1,50,10,1,1,4096,8,10,3,5.75713,0.192507,0.0943582,2.0044,2.29126
nomad-KDD-100-reg-1,1,100,1,1,4096,8,10,3,58.3182,1.18114,0.339001,43.4047,44.9248
nomad-KDD-100-reg-1,10,100,1,1,4096,8,10,3,58.0512,1.17029,0.354391,50.8748,52.3995
nomad-KDD-100-reg-1,5,100,1,1,4096,8,10,3,59.5468,1.17457,0.349028,48.8223,50.3459
nomad-KDD-100-reg-1,50,100,1,1,4096,8,10,3,58.227,1.16894,0.352657,55.2231,56.7447
nomad-KDD-25-reg-0.001,1,25,1,1,4096,8,10,3,14.6542,0.356622,0.135239,5.18813,5.67999
nomad-KDD-25-reg-0.001,10,25,1,1,4096,8,10,3,14.3994,0.350933,0.134737,8.08652,8.57219
nomad-KDD-25-reg-0.001,5,25,1,1,4096,8,10,3,14.4092,0.357061,0.136198,7.26362,7.75688
nomad-KDD-25-reg-0.001,50,25,1,1,4096,8,10,3,14.5891,0.362149,0.137286,10.7316,11.231
nomad-KDD-50-reg-1,1,50,1,1,4096,8,10,3,29.3081,0.620243,0.185657,20.2455,21.0514
nomad-KDD-50-reg-1,10,50,1,1,4096,8,10,3,28.9111,0.617119,0.209285,25.4763,26.3027
nomad-KDD-50-reg-1,5,50,1,1,4096,8,10,3,28.8901,0.62249,0.209119,24.7272,25.5588
nomad-KDD-50-reg-1,50,50,1,1,4096,8,10,3,28.8767,0.618552,0.205344,28.6771,29.501
nomad-Netflix-10-reg-0.05,1,10,1,1,4096,8,10,3,1.86565,0.0937294,0.011058,0.0328981,0.137685
nomad-Netflix-10-reg-0.05,10,10,1,1,4096,8,10,3,1.73706,0.0925228,0.0110663,0.0436833,0.147272
nomad-Netflix-10-reg-0.05,5,10,1,1,4096,8,10,3,2.11748,0.128867,0.0120701,0.0388907,0.179828
nomad-Netflix-10-reg-0.05,50,10,1,1,4096,8,10,3,1.76122,0.0911449,0.0106456,0.0634619,0.165252
nomad-Netflix-25-reg-0.05,1,25,1,1,4096,8,10,3,4.41899,0.17252,0.012475,0.0820718,0.267067
nomad-Netflix-25-reg-0.05,10,25,1,1,4096,8,10,3,4.33813,0.171966,0.0120782,0.0942418,0.278286
nomad-Netflix-25-reg-0.05,5,25,1,1,4096,8,10,3,4.34328,0.172231,0.0123309,0.0905658,0.275128
nomad-Netflix-25-reg-0.05,50,25,1,1,4096,8,10,3,4.33774,0.174045,0.0121038,0.113686,0.299835
nomad-Netflix-50-reg-0.05,1,50,1,1,4096,8,10,3,8.97554,0.300038,0.015228,0.132922,0.448188
nomad-Netflix-50-reg-0.05,10,50,1,1,4096,8,10,3,8.71874,0.300044,0.0173905,0.155586,0.47302
nomad-Netflix-50-reg-0.05,5,50,1,1,4096,8,10,3,8.72627,0.298591,0.0156447,0.141431,0.455667
nomad-Netflix-50-reg-0.05,50,50,1,1,4096,8,10,3,8.71916,0.29776,0.0172343,0.137983,0.452977
nomad-Netflix-100-reg-0.05,1,100,1,1,4096,8,10,3,17.2261,0.594757,0.0189997,0.178128,0.791885
nomad-Netflix-100-reg-0.05,10,100,1,1,4096,8,10,3,16.9348,0.563098,0.0212887,0.216722,0.801108
